celex,source_article,target_article,rule,expansion,surface_form,source_is_amending,context,verdict,note
32009R1223,3,4,bare_article,single,Article 4,False, for use and disposal; (d) any other indication or information provided by the responsible person defined in Article 4. The provision of warnings shall not exempt persons defined in Articles 2 and 4 from compliance with the oth,,
32010R1063,3,1,bare_article,single,Article 1,False,"cle, point (1), insofar as it relates to Articles 68 to 71, 90 to 97i and 97j (2), point (8) and point (9) of Article 1 shall apply from 1 January 2017. 4. Beneficiary countries which are not in a position to implement the regis",,
32011L0061,56,4,bare_article,list_expansion,"Articles 3, 4, 9, 12, 14 to 25, 34 to 37, 40, 42, 53, 67 and 68",False,"Exercise of the delegation 1. The powers to adopt delegated acts referred to in Articles 3, 4, 9, 12, 14 to 25, 34 to 37, 40, 42, 53, 67 and 68 shall be conferred on the Commission for a period of 4 years from 21 July 2011. The Commission shall draw up ",,
32011L0061,56,20,bare_article,range_expansion,"Articles 3, 4, 9, 12, 14 to 25, 34 to 37, 40, 42, 53, 67 and 68",False,"Exercise of the delegation 1. The powers to adopt delegated acts referred to in Articles 3, 4, 9, 12, 14 to 25, 34 to 37, 40, 42, 53, 67 and 68 shall be conferred on the Commission for a period of 4 years from 21 July 2011. The Commission shall draw up ",,
32011L0061,68,35,bare_article,single,Article 35,False,"(a) an opinion on the functioning of the passport for EU AIFMs marketing non-EU AIFs in the Union pursuant to Article 35 and for non-EU AIFMs managing and/or marketing AIFs in the Union pursuant to Articles 37 to 41, and on the fu",,
32011L0070,9,11,bare_article,single,Article 11,False,"ate financial resources be available when needed for the implementation of national programmes referred to in Article 11, especially for the management of spent fuel and radioactive waste, taking due account of the responsibility ",,
32013L0053,30,19,bare_article,list_expansion,Articles 19 to 24,False," shall observe professional secrecy with regard to all information obtained in carrying out their tasks under Articles 19 to 24 or any provision of national law giving effect to it, except in relation to the competent authorities of the ",,
32013L0053,30,21,bare_article,range_expansion,Articles 19 to 24,False,"ent body shall be capable of carrying out the conformity assessment tasks assigned to it by the provisions of Articles 19 to 24 and in relation to which it has have been notified, whether those tasks are carried out by the conformity ass",,
32013L0053,49,50,bare_article,single,Article 50(4),False,mmission shall adopt immediately applicable implementing acts in accordance with the procedure referred to in Article 50(4).,,
32013R0039,15,9,bare_article,single,Article 9,False," of its publication in the Official Journal of the European Union.It shall apply from 1 January 2013.However, Article 9 shall apply from 1 February 2013.",,
32014R0110,23,16,bare_article,list_expansion,Articles 16 to 25,False,Liability of the financial actors 1. Articles 16 to 25 are without prejudice to any liability under criminal law which the financial actors may incur as provided fo,,
32014R0110,24,18,bare_article,range_expansion,Articles 16 to 25,False,"Conflict of interests 1. Financial actors within the meaning of Articles 16 to 25 and other persons involved in budget implementation and management, including acts preparatory thereto, audit",,
32014R0110,7,3,bare_article,single,Article 3,False,"the Commission, plus annual contributions from other members than the Union, any other revenue referred to in Article 3 and the amount of the unused appropriations referred to in Article 6(5). 3. The PPP body may not raise loans",,
32014R0514,58,53,bare_article,list_expansion,"Articles 5(5), 26(4), 29(1), 53(4) and 55(4)",False,"tify it simultaneously to the European Parliament and to the Council. 5. A delegated act adopted pursuant to Articles 5(5), 26(4), 29(1), 53(4) and 55(4) shall enter into force only if no objection has been expressed either by the European Parliament or by the Co",,
32014R0514,27,59,bare_article,single,Article 59(3),False,esults. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 59(3).,,
32004R2073,8,7,bare_article,list_expansion,Articles 5 and 7,False,"The requested authority shall provide the information referred to in Articles 5 and 7 as quickly as possible, and no later than three months following the date of receipt of the request.",,
32004R2073,24,34,bare_article,single,Article 34(2),False,nd the arrangements for exchange of information shall be laid down according to the procedure provided for in Article 34(2). 3. The relevant authorities of the Member State in which a consignor of excisable products is established m,,
32005R1308,6,4,bare_article,single,Article 4(1),False,ommission tenders submitted within two hours from the expiry of the deadline for the submissions laid down in Article 4(1).The tenderers shall not be identified.Tenders submitted shall be communicated in electronic form according to,,
32006L0112,193,202,bare_article,list_expansion,Articles 194 to 199 and Article 202,False,"taxable supply of goods or services, except where it is payable by another person in the cases referred to in Articles 194 to 199 and Article 202.",,
32006L0112,13,382,bare_article,range_expansion,"Articles 132, 135, 136, 371, 374 to 377, and Article 378(2), Article 379(2), or Articles 380 to 390",False," carried out on such a small scale as to be negligible. 2. Member States may regard activities, exempt under Articles 132, 135, 136, 371, 374 to 377, and Article 378(2), Article 379(2), or Articles 380 to 390, engaged in by bodies governed by public law as activities in which those bodies engage as public authorities",,
32006L0112,296,281,bare_article,single,Article 281,False," farmers for whom application of the normal VAT arrangements, or of the simplified procedures provided for in Article 281, is not likely to give rise to administrative difficulties. 3. Every flat-rate farmer may opt, subject to th",,
32009L0055,7,2,bare_article,list_expansion,Articles 2 to 5,False,"1. The exemption for which Article 1 makes provision shall be granted, subject to the conditions laid down in Articles 2 to 5, in respect of personal property introduced by a private individual when transferring his normal residence.Th",,
32009L0055,9,3,bare_article,range_expansion,Articles 2 to 5,False,"1. Without prejudice to Articles 2 to 5, any person shall on marrying be entitled to exemption from the taxes referred to in Article 1(1) when introd",,
32009L0055,11,2,bare_article,single,Article 2(2),False,"id down in this Directive, with the exception of those laid down in Article 2(2)(a). 3. Without prejudice to Article 2(2), Member States may not, by virtue of this Directive, apply within the Community tax exemptions less favourabl",,
32009R1223,5,18,bare_article,list_expansion,"Articles 3, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, Article 19(1)",False,"Obligations of responsible persons 1. Responsible persons shall ensure compliance with Articles 3, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, Article 19(1),(2) and (5), as well as Articles 20, 21, 23 and 24. 2. Responsible persons who consider or have reason to be",,
32009R1223,2,32,bare_article,single,Article 32(3),False,"of this Regulation, shall be adopted in accordance with the regulatory procedure with scrutiny referred to in Article 32(3).",,
32010R1063,3,2,bare_article,single,Article 2,False,"quest to the Commission before 1 July 2016 or in relation to which in accordance with the second paragraph of Article 2 the Commission has proposed adjustments, may continue to apply the provisions set out in Title IV Chapter 2 S",,
32011L0061,68,22,bare_article,list_expansion,"Articles 22, 23 and 24",False,"rements established in this Directive with the exception of Article 21; (ii) compliance of non-EU AIFMs with Articles 22, 23 and 24 in respect of each AIF marketed by the AIFM and, where relevant, with Articles 26 to 30; (iii) existence and",,
32011L0061,61,27,bare_article,range_expansion,Articles 26 to 30,False," to manage such AIFs without needing to comply with this Directive except for Article 22 and, where relevant, Articles 26 to 30, or to submit an application for authorisation under this Directive. 5. The competent authorities of the hom",,
32011L0061,37,8,bare_article,single,Article 8(1),False,; (c) point (a) of Article 8(1) shall be without prejudice to paragraph 2 of this Article; (d) point (e) of Article 8(1) shall not apply; (e) the second subparagraph of Article 8(5) shall be read as including a reference to ‘the ,,
32011L0070,13,12,bare_article,single,Article 12,False,arification and/or express its opinion on whether the content of the national programme is in accordance with Article 12. 3. Within 6 months of receiving the Commission’s reaction Member States shall provide the requested clarifi,,
32013L0053,19,21,bare_article,list_expansion,"Articles 20, 21 and 22",False,"y assessment procedures 1. The manufacturer shall apply the procedures set out in the modules referred to in Articles 20, 21 and 22 before placing on the market products referred to in Article 2(1). 2. The private importer shall apply the p",,
32013L0053,38,24,bare_article,range_expansion,Articles 19 to 24,False,"hall carry out conformity assessments in accordance with the conformity assessment procedures provided for in Articles 19 to 24. 2. Conformity assessments shall be carried out in a proportionate manner, avoiding unnecessary burdens for ",,
32013L0053,8,15,bare_article,single,Article 15,False,"uthorised representative to do at least the following: (a) keep a copy of the declaration, as referred to in Article 15, and the technical documentation at the disposal of national surveillance authorities for 10 years after the ",,
32014R0110,24,16,bare_article,list_expansion,Articles 16 to 25,False,"Conflict of interests 1. Financial actors within the meaning of Articles 16 to 25 and other persons involved in budget implementation and management, including acts preparatory thereto, audit",,
32014R0110,23,17,bare_article,range_expansion,Articles 16 to 25,False,Liability of the financial actors 1. Articles 16 to 25 are without prejudice to any liability under criminal law which the financial actors may incur as provided fo,,
32014R0110,18,11,bare_article,single,Article 11,False,"rder and complies with the provisions applicable; (b) the principle of sound financial management set out in Article 11 has been applied. For the purpose of controls, a series of similar individual transactions relating to routi",,
32014R0514,59,53,this_act_whitelist,list_expansion,"Articles 14(4), 24(5), 45(2), 47(6) and 53(5)",False,"here the committee delivers no opinion, the Commission shall not adopt the draft implementing act, except for Articles 14(4), 24(5), 45(2), 47(6) and 53(5) of this Regulation.",,
32014R0514,42,41,bare_article,single,Article 41,False,er State has failed to take the necessary action to remedy the situation giving rise to an interruption under Article 41. 2. The Commission may decide to suspend all or part of an annual balance after having given the Member Stat,,
32004R2073,3,13,bare_article,list_expansion,Articles 11 and 13,False," central liaison offices of the other Member States concerned. 6. The officials exchanging information under Articles 11 and 13 shall be deemed to be competent officials for this purpose, in accordance with the conditions laid down by th",,
32004R2073,11,1,bare_article,single,Article 1,False, may be present during the administrative enquiries with a view to exchanging the information provided for in Article 1. Administrative enquiries shall be carried out exclusively by the officials of the requested authority. The r,,
32006L0112,238,36,bare_article,list_expansion,"Articles 20, 21, 22, 33, 36, 138 and 141",False,"The simplified arrangements provided for in paragraph 1 may not be applied to the transactions referred to in Articles 20, 21, 22, 33, 36, 138 and 141.",,
32006L0112,214,195,bare_article,range_expansion,Articles 194 to 197 and Article 199,False," payable solely by the customer or the person for whom the goods or services are intended, in accordance with Articles 194 to 197 and Article 199; (b) every taxable person, or non-taxable legal person, who makes intra-Community acquisitions of goods subj",,
32006L0112,136,176,bare_article,single,Article 176,False,"lity; (b) the supply of goods on the acquisition or application of which VAT was not deductible, pursuant to Article 176.",,
32009L0055,9,2,bare_article,list_expansion,Articles 2 to 5,False,"1. Without prejudice to Articles 2 to 5, any person shall on marrying be entitled to exemption from the taxes referred to in Article 1(1) when introd",,
32009L0055,3,10,bare_article,range_expansion,Articles 7 to 10,False, The introduction of the property may be carried out all at once or in stages within the periods laid down in Articles 7 to 10 respectively.,,
32009L0055,9,1,bare_article,single,Article 1(1),False,"udice to Articles 2 to 5, any person shall on marrying be entitled to exemption from the taxes referred to in Article 1(1) when introducing into the Member State to which he intends to transfer his normal residence personal property",,
32009R1223,28,27,bare_article,list_expansion,Articles 26 and 27,False,entioned in paragraphs 1 and 2 shall apply with regard to the distributor for any decisions taken pursuant to Articles 26 and 27.,,
32009R1223,19,3,bare_article,single,Article 3,False,"e conditions, will continue to fulfil its initial function and, in particular, will remain in conformity with Article 3 (‘date of minimum durability’). The date itself or details of where it appears on the packaging shall be prec",,
32010R1063,3,1,bare_article,single,Article 1,False,"7 and 18 of Regulation (EC) No 2454/93, as amended by this Regulation, until 1 January 2020. 5. Point (2) of Article 1 shall apply until the date specified in paragraph 3 or, for the beneficiary countries referred to in paragrap",,
32011L0061,15,57,bare_article,list_expansion,Articles 57 and 58,False,"ission shall adopt, by means of delegated acts in accordance with Article 56 and subject to the conditions of Articles 57 and 58, measures specifying: (a) the risk management systems to be employed by AIFMs in relation to the risks which",,
32011L0061,68,30,bare_article,range_expansion,Articles 26 to 30,False,"on-EU AIFMs with Articles 22, 23 and 24 in respect of each AIF marketed by the AIFM and, where relevant, with Articles 26 to 30; (iii) existence and effectiveness of cooperation arrangements for the purpose of systemic risk oversight an",,
32011L0061,37,8,bare_article,single,Article 8(5),False, if it considers that the criteria set out in paragraph 4 have not been complied with.The term referred to in Article 8(5) shall be suspended during ESMA’s deliberation in accordance with this paragraph.If the competent authorities ,,
32011L0070,3,6,bare_article,single,Article 6,False,tate in the field of regulation of the safety of spent fuel or radioactive waste management as referred to in Article 6; (3) ‘disposal’ means the emplacement of spent fuel or radioactive waste in a facility without the intention,,
32013L0053,7,17,bare_article,list_expansion,Articles 17 and 18,False,"rs shall draw up a declaration, as referred to in Article 15 and mark and affix the CE marking, as set out in Articles 17 and 18. 3. Manufacturers shall keep the technical documentation and a copy of the declaration, as referred to in Ar",,
32013L0053,38,20,bare_article,range_expansion,Articles 19 to 24,False,"hall carry out conformity assessments in accordance with the conformity assessment procedures provided for in Articles 19 to 24. 2. Conformity assessments shall be carried out in a proportionate manner, avoiding unnecessary burdens for ",,
32013L0053,19,23,bare_article,single,Article 23,False,"ot covered by this Directive in a way that it falls under its scope, shall apply the procedure referred to in Article 23 before placing the product on the market or putting it into service. 4. Any person placing on the market a w",,
32014R0110,24,25,bare_article,range_expansion,Articles 16 to 25,False,"Conflict of interests 1. Financial actors within the meaning of Articles 16 to 25 and other persons involved in budget implementation and management, including acts preparatory thereto, audit",,
32014R0110,20,43,bare_article,single,Article 43(2),False,annual activity report and the final accounts together with their approval by the governing board pursuant to Article 43(2) shall be sent by the director to the Commission. The Commission shall send these documents to the European Pa,,
32014R0514,58,5,bare_article,list_expansion,"Articles 5(5), 26(4), 29(1), 53(4) and 55(4)",False," later than three months before the end of the seven-year period. 3. The delegation of powers referred to in Articles 5(5), 26(4), 29(1), 53(4) and 55(4) may be revoked at any time by the European Parliament or by the Council. A decision to revoke shall put an en",,
32014R0514,13,14,bare_article,single,Article 14,False,"ialogue at the level of senior officials, taking into account the relevant indicative timeframes laid down in Article 14. The dialogue shall focus on the overall results to be achieved by means of the national programmes in order ",,
32004R2073,3,11,bare_article,list_expansion,Articles 11 and 13,False," central liaison offices of the other Member States concerned. 6. The officials exchanging information under Articles 11 and 13 shall be deemed to be competent officials for this purpose, in accordance with the conditions laid down by th",,
32004R2073,28,34,bare_article,single,Article 34(2),False,ided by electronic means under the arrangements to be adopted in accordance with the procedure referred to in Article 34(2).,,
32006L0112,89,85,bare_article,list_expansion,"Articles 85, 86 and 87",False,"that the VAT thus due on the importation is equal to at least 5 % of the amount determined in accordance with Articles 85, 86 and 87.",,
32006L0112,80,170,bare_article,range_expansion,Articles 167 to 171 and Articles 173 to 177,False,"ideration is higher than the open market value and the supplier does not have a full right of deduction under Articles 167 to 171 and Articles 173 to 177. For the purposes of the first subparagraph, legal ties may include the relationship between an employer and",,
32006L0112,271,250,bare_article,single,Article 250,False,er three months the tax period in respect of which taxable persons must submit the VAT return provided for in Article 250 may permit such persons to submit recapitulative statements in respect of the same period where those taxable,,
32009L0055,10,3,bare_article,list_expansion,"Articles 2, 3 and 5",False,"derogation from Articles 2(2) and (3), 4 and 5(2), but without prejudice to the other provisions contained in Articles 2, 3 and 5, any private individual who acquires by inheritance (causa mortis) the ownership or the beneficial ownership ",,
32009L0055,3,9,bare_article,range_expansion,Articles 7 to 10,False, The introduction of the property may be carried out all at once or in stages within the periods laid down in Articles 7 to 10 respectively.,,
32009L0055,12,11,bare_article,single,Article 11(2),False,"he field covered by this Directive, and in particular any resulting from the application of the provisions of Article 11(2) and (3). The Commission shall inform the other Member States thereof. 2. Every two years the Commission shal",,
32009R1223,5,8,bare_article,list_expansion,"Articles 3, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, Article 19(1)",False,"Obligations of responsible persons 1. Responsible persons shall ensure compliance with Articles 3, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, Article 19(1),(2) and (5), as well as Articles 20, 21, 23 and 24. 2. Responsible persons who consider or have reason to be",,
32009R1223,20,32,this_act_whitelist,single,Article 32(3),False,"sed in respect of cosmetic products, in accordance with the regulatory procedure with scrutiny referred to in Article 32(3) of this Regulation, taking into account the provisions of Directive 2005/29/EC. By 11 July 2016, the Commiss",,
32011L0061,68,35,bare_article,list_expansion,Article 35 and Articles 37 to 41,False, in Articles 36 and 42 in parallel with the existence of the passport in accordance with the rules set out in Article 35 and Articles 37 to 41. 2. ESMA shall base its opinion and advice on the termination of the existence of the national regimes set o,,
32011L0061,67,28,bare_article,range_expansion,Articles 26 to 30,False,"on-EU AIFMs with Articles 22, 23 and 24 in respect of each AIF marketed by the AIFM and, where relevant, with Articles 26 to 30; (iii) existence and effectiveness of cooperation arrangements for the purpose of systemic risk oversight an",,
32011L0061,23,22,bare_article,single,Article 22,False,"re relevant, their legal or economic links with the AIF or AIFM; (k) the latest annual report referred to in Article 22; (l) the procedure and conditions for the issue and sale of units or shares; (m) the latest net asset value",,
32011L0070,6,5,bare_article,single,Article 5(1)(b),False,"ncial resources necessary to fulfil its obligations in connection with the national framework as described in Article 5(1)(b), (c), (d) and (e).",,
32013L0053,46,7,bare_article,list_expansion,Article 7(6) or Article 9(3),False,"ly; (e) the technical documentation is either not available or not complete; (f) the information set out in Article 7(6) or Article 9(3) is absent, false or incomplete; (g) any other administrative requirement provided for in Article 7 or Articl",,
32013L0053,32,21,bare_article,range_expansion,Articles 19 to 24,False,ssessment of the qualifications of the subcontractor or the subsidiary and the work carried out by them under Articles 19 to 24.,,
32013L0053,49,50,bare_article,single,Article 50(3),False,cle 51. Those implementing acts shall be adopted in accordance with the examination procedure referred to in Article 50(3). 2. On duly justified imperative grounds of urgency when a product presents a serious risk to the health and ,,
32014R0110,23,22,bare_article,range_expansion,Articles 16 to 25,False,Liability of the financial actors 1. Articles 16 to 25 are without prejudice to any liability under criminal law which the financial actors may incur as provided fo,,
32014R0110,14,31,bare_article,single,Article 31(4),False,"re and the general guidelines underlying that estimate, together with its draft work programme referred to in Article 31(4). 2. The estimate of revenue and expenditure of the PPP body shall include: (a) an estimate of the number of",,
32014R0514,58,29,bare_article,list_expansion,"Articles 5(5), 26(4), 29(1), 53(4) and 55(4)",False," later than three months before the end of the seven-year period. 3. The delegation of powers referred to in Articles 5(5), 26(4), 29(1), 53(4) and 55(4) may be revoked at any time by the European Parliament or by the Council. A decision to revoke shall put an en",,
32014R0514,55,57,bare_article,single,Article 57,False,fic Regulations shall be evaluated by the Commission in partnership with the Member States in accordance with Article 57. 3. A common monitoring and evaluation framework shall be established with a view to measuring the relevance,,
32004R2073,30,1,bare_article,single,Article 1,False,mber State shall provide the requesting authority in another Member State with the information referred to in Article 1 provided that: (a) the number and the nature of the request for information made by the requesting authority,,
32006L0112,169,156,bare_article,list_expansion,"Articles 138, 142 or 144, Articles 146 to 149, Articles 151, 152, 153 or 156, Article 157(1)(b), Articles 158 to 161 or Article 164",False,"uctible if they had been carried out within that Member State; (b) transactions which are exempt pursuant to Articles 138, 142 or 144, Articles 146 to 149, Articles 151, 152, 153 or 156, Article 157(1)(b), Articles 158 to 161 or Article 164; (c) transactions which are exempt pursuant to points (a) to (f) of Article 135(1), where the customer is es",,
32006L0112,139,285,bare_article,range_expansion,Articles 282 to 292,False,ject to excise duty by taxable persons who are covered by the exemption for small enterprises provided for in Articles 282 to 292. 3. The exemption provided for in Article 138(1) and (2)(b) and (c) shall not apply to the supply of goods s,,
32006L0112,317,315,bare_article,single,Article 315,False,"able dealer exercises the option under Article 316, the taxable amount shall be determined in accordance with Article 315. In respect of the supply of works of art, collectors' items or antiques which the taxable dealer has import",,
32009L0055,10,5,bare_article,list_expansion,"Articles 2, 3 and 5",False,"derogation from Articles 2(2) and (3), 4 and 5(2), but without prejudice to the other provisions contained in Articles 2, 3 and 5, any private individual who acquires by inheritance (causa mortis) the ownership or the beneficial ownership ",,
32009L0055,7,3,bare_article,range_expansion,Articles 2 to 5,False,"1. The exemption for which Article 1 makes provision shall be granted, subject to the conditions laid down in Articles 2 to 5, in respect of personal property introduced by a private individual when transferring his normal residence.Th",,
32009L0055,2,1,bare_article,single,Article 1,False,e exercise of his trade or profession shall also be treated as personal property. 2. The exemption for which Article 1 makes provision shall be granted for personal property: (a) which has been acquired under the general condit,,
32009R1223,3,2,bare_article,list_expansion,Articles 2 and 4,False,y the responsible person defined in Article 4. The provision of warnings shall not exempt persons defined in Articles 2 and 4 from compliance with the other requirements laid down in this Regulation.,,
