doc_id,model,mode,lang,human_keep,primary_category,secondary_categories,reason
EP-4633791-A1,grok-4.3,semantic,zh,yes,trivial_tautological,faithfulness,答案有原文依据，但问题已直接给出“家用或个人护理”这一核心答案线索，且“发挥作用”的表述没有得到说明。
EP-4633791-A1,qwen3.6-35b-a3b,semantic,zh,no,answer_form,trivial_tautological,答案忠实复述了含微胶囊的香氛组合物及护理产品，但并未真正说明如何通过微囊化整合香氛成分。
EP-4633791-A1,sonnet-4.6,semantic,zh,no,faithfulness,,查询具有很强的概念性和检索价值，但原文并未说明不使用合成聚合物、采用天然生物大分子或将香料封装其中，所引法文答案也仅证明存在蛋白质基微胶囊制备工艺。
EP-4634436-A1,qwen3.6-35b-a3b,semantic,fr,no,faithfulness,,"Le passage associe l’injection au dépistage de cellules à membrane endommagée, mais ne soutient ni la localisation de fissures ni l’affirmation d’une procédure sans démontage."
MX-2025002756-A,gpt-5-mini,technical,en,yes,unanchored_generic,,"The copper range is reproduced exactly, but the generic reference to “the alloy” gives the query little power to retrieve this particular document."
MX-2025002756-A,qwen3.6-35b-a3b,technical,en,yes,unanchored_generic,,"The answer exactly matches the stated lead threshold, but the standalone query is underspecified because “the alloy” does not identify lead-free brass."
MX-2025004470-A,gemini-3.5-flash,semantic,en,no,faithfulness,,"Although the answer is an exact heating step, the passage does not state that the design counteracts a temperature drop or characterize the conversion as endothermic."
MX-2025004470-A,qwen3.6-35b-a3b,semantic,en,no,faithfulness,,"The extracted heating step is supported, but neither it nor the passage establishes precise thermal regulation or explains how such regulation is maintained."
MX-2025005046-A,gemini-3.5-flash,semantic,de,yes,faithfulness,,"Die Antwort ist zwar textnah, doch die Frage setzt chemische Lebensdauer mit Verweilzeit und Molekülzahl mit Konzentration gleich und führt zudem den nicht ausdrücklich belegten Desinfektionsbegriff ein."
MX-2025006624-A,gpt-5.4-mini,semantic,fr,yes,faithfulness,answer_form,"Le constituant et sa teneur sont correctement repris, mais la réponse n'indique pas explicitement que le composé A provient du glycol biobasé mentionné dans la question."
MX-2025006624-A,grok-4.3,semantic,fr,no,answer_form,faithfulness;not_search_like,"Les plages de composition sont exactes, mais la réponse ne justifie ni l'origine biologique ni le maintien de propriétés industrielles, et la tournure « polymérisables par actinique » est maladroite."
MX-2025006624-A,qwen3.6-35b-a3b,semantic,fr,no,answer_form,faithfulness,"La voie chimique citée est directement étayée, mais la réponse omet le composé B et sa viscosité, indispensables pour répondre à l'aspect de contrôle rhéologique."
MX-2025006624-A,sonnet-4.6,semantic,fr,no,faithfulness,,"La préparation du composé biobasé est bien étayée, mais le passage ne démontre pas que cette intégration se fait sans perte de réactivité."
MX-2025007206-A,gpt-5-mini,technical,de,yes,unanchored_generic,,"Die Antwort ist ein exakter Passagenspan, aber die Frage nennt weder rAAV noch Formulierungen und ist daher für eine technische Suche zu unspezifisch."
MX-2025007206-A,sonnet-4.6,technical,de,no,faithfulness,not_search_like,"Der Zahlenwert ist belegt, doch „Mindesttemperatur“ deutet fälschlich einen eingeschlossenen Minimalwert an und „im Regal gelagert“ wirkt wie eine unbeholfene wörtliche Übersetzung."
MX-2025007510-A,gemini-3.5-flash,semantic,es,yes,faithfulness,conceptual_vs_factual,"La hipertensión pulmonar está correctamente identificada, pero «tomas diarias» introduce una periodicidad no especificada y la pregunta se limita principalmente a recuperar una indicación clínica factual."
MX-2025007510-A,gpt-5.4-mini,semantic,es,yes,answer_form,answer_language_mismatch,"La formulación liposomal y la vida media están respaldadas, pero la respuesta es innecesariamente extensa, conserva el artefacto «5» y mezcla español e inglés en lugar de dar el tipo de formulación de manera limpia."
MX-2025007510-A,grok-4.3,semantic,es,no,answer_form,trivial_tautological;not_search_like,"El fragmento está presente en la fuente, pero repite el objetivo de reducir la frecuencia sin explicar la manera de lograrlo y la consulta está formulada como un sintagma incompleto."
MX-2025007510-A,sonnet-4.6,semantic,es,yes,answer_form,unanchored_generic,"Aunque el fragmento de respuesta está literalmente respaldado, no identifica de forma autónoma la estrategia de encapsulación solicitada y depende de la referencia vaga a «la composición descrita»."
MX-2025009131-A,gpt-5-mini,technical,zh,yes,not_search_like,unanchored_generic,答案是原文的直接连续表述，但“聚合物由哪类聚合物组成”措辞重复、缺少工艺语境且难以锁定该文献。
MX-2025009131-A,gpt-5.4-mini,technical,zh,yes,not_search_like,unanchored_generic,答案忠实且问题只涉及一个事实，但“把腔体加压到高压”略显生硬和重复，且缺少泡沫、高压釜或聚合物等区分性信息。
MX-2025009131-A,grok-4.3,technical,zh,yes,unanchored_generic,,答案准确说明维持升高压力是为了使超临界流体渗入聚合物，但问题脱离泡沫制造语境后过于宽泛，检索区分度不足。
MX-2025010190-A,gpt-5.4-mini,technical,en,yes,unanchored_generic,,"Although the answer is fully supported, the query is too generic to distinguish this patent from numerous unrelated documents about polynucleotides."
WO-2022005333-A1,gpt-5-mini,semantic,en,no,lifted_wording,unanchored_generic;trivial_tautological,"Although fully supported and specific, the query closely mirrors the source vocabulary, depends on the vague phrase “this process,” and receives a largely circular answer."
WO-2022005333-A1,qwen3.6-35b-a3b,semantic,en,yes,unanchored_generic,conceptual_vs_factual,"The extracted list is exact and the wording is strongly paraphrased, but the question seeks a simple factual enumeration and is too generic to distinguish this document reliably."
WO-2025054647-A1,gemini-3.5-flash,semantic,es,no,faithfulness,,"La formulación tiene buena distancia léxica y plantea un problema conceptual, pero el pasaje solo especifica propiedades de la matriz y no explica cómo se resuelven tensiones ni cómo se asegura la permeabilidad."
WO-2025054647-A1,gpt-5.4-mini,semantic,es,yes,unanchored_generic,,"La respuesta está respaldada y conserva las cifras, pero la referencia vaga a «un sistema de este tipo» hace que la consulta sea poco autónoma y escasamente discriminativa."
WO-2025054647-A1,qwen3.6-35b-a3b,semantic,es,yes,faithfulness,,"Aunque las cifras son exactas y la consulta resulta plausible, equipara de manera imprecisa el coeficiente de difusión con la permeabilidad y afirma una garantía de estabilidad no expresada en el pasaje."
WO-2025177605-A1,gpt-5-mini,technical,fr,yes,faithfulness,,"Bien que la réponse soit exacte, la formulation demande un pourcentage apparemment fixe sans préciser qu’il s’agit d’une teneur minimale, ce qui la rend potentiellement trompeuse."
WO-2025177605-A1,gpt-5.4-mini,technical,fr,yes,not_search_like,lifted_wording,"La réponse est fidèle, mais l’expression « joindre la partie de jonction » est redondante et maladroite, et la formulation reprend de près celle du passage."
WO-2025187661-A8,gpt-5-mini,semantic,es,yes,unanchored_generic,conceptual_vs_factual,"La respuesta identifica correctamente las rebabas, pero la consulta es deíctica, poco distinguible fuera de contexto y pide un dato simple en vez de un concepto."
WO-2025187661-A8,gpt-5.4-mini,semantic,es,yes,trivial_tautological,answer_form;answer_language_mismatch,"Es recuperable y está respaldada, pero la respuesta es circular, no ofrece la composición y mezcla innecesariamente español e inglés."
WO-2025187661-A8,grok-4.3,semantic,es,yes,answer_form,trivial_tautological,"La pregunta es específica y fiel al pasaje, pero la respuesta repite que la composición evita las rebabas sin explicar cómo lo consigue."
WO-2025187661-A8,qwen3.6-35b-a3b,semantic,es,no,faithfulness,answer_form,"Aunque está muy bien parafraseada, introduce «exudaciones» y la respuesta solo enuncia el efecto inhibidor, no el enfoque solicitado."
WO-2025202347-A1,qwen3.6-35b-a3b,semantic,de,yes,trivial_tautological,,"Die Antwort ist vollständig belegt, doch die Frage nimmt mit „zentrales oder einziges therapeutisches Element“ und „wässriger Augenmedikation“ nahezu den gesamten Antwortinhalt bereits vorweg."
WO-2025202347-A1,sonnet-4.6,semantic,de,no,answer_form,answer_language_mismatch,"Obwohl die aufgezählten Spätkomplikationen belegt sind, beantwortet die Antwort nicht die Frage nach der pharmakologischen Behandlungsmethode und enthält entbehrliche englische Glossare."
WO-2025207810-A1,gpt-5.4-mini,technical,zh,yes,answer_language_mismatch,not_search_like,答案与原文一致，但“错误校验 barcode nucleotide sequences”的中英拼接明显生硬，不符合自然中文检索表达。
WO-2025207810-A1,sonnet-4.6,technical,zh,yes,answer_language_mismatch,,答案忠实对应原文，但问题和答案均不必要地中英混杂，作为指定中文问题不够自然。
WO-2025210445-A1,gemini-3.5-flash,technical,fr,yes,lifted_wording,unanchored_generic,"La réponse correspond exactement à la plage la plus préférentielle, mais la question reprend étroitement le libellé du passage et manque de termes identifiant l'invention."
WO-2025210445-A1,gpt-5-mini,technical,fr,yes,unanchored_generic,multi_fact,"Cette requête nominale convient à une barre de recherche et son answer est exact, mais elle est trop générique et regroupe deux niveaux de préférence sans préciser le procédé concerné."
WO-2025210445-A1,gpt-5.4-mini,technical,fr,yes,unanchored_generic,not_search_like,"La réponse est entièrement étayée, mais « la plus préférée » est légèrement maladroit et aucun contexte ne distingue cette plage de celles de nombreux autres dispositifs."
WO-2025210445-A1,grok-4.3,technical,fr,no,unanchored_generic,,"La réponse reproduit exactement les deux plages hiérarchisées, mais la question reste trop générique pour retrouver spécifiquement ce procédé électrochimique."
WO-2025210445-A1,qwen3.6-35b-a3b,technical,fr,yes,unanchored_generic,lifted_wording,"La plage de 1 V à 20 V est exacte et la demande est ciblée sur un seul fait, mais la formulation proche du passage et dépourvue de contexte technique est peu distinctive."
WO-2025211128-A1,gpt-5-mini,technical,en,no,unanchored_generic,lifted_wording,"The answer is exact and the question is fluent and focused, but without identifying the silicon member it is too generic and closely echoes the source wording."
WO-2025211128-A1,gpt-5.4-mini,technical,en,no,unanchored_generic,,"Although the answer is fully supported and the question asks one fact, the absence of any silicon or polycrystalline context makes it far too generic for retrieval."
WO-2025211336-A1,gpt-5.4-mini,semantic,en,no,answer_form,trivial_tautological,"Although the answer is directly extracted, it merely repeats the desired properties and does not explain how the resin can be made to achieve them."
WO-2025211336-A1,grok-4.3,semantic,en,no,faithfulness,not_search_like,"The answer accurately lists the components, but the question adds an unstated addition-reaction mechanism and calls the hollow particles fillers while using cumbersome phrasing."
WO-2025211336-A1,qwen3.6-35b-a3b,semantic,en,yes,faithfulness,,"The ingredient list is exact and highly retrievable, but describing the material specifically as UV-sensitive is an unsupported narrowing of the source's broader photocurable formulation."
WO-2025215167-A1,gemini-3.5-flash,semantic,de,yes,faithfulness,,"Der Sol-Gel-Antwortausschnitt ist korrekt, aber die Frage behauptet ohne klare Textgrundlage eine nanostrukturierte Beschichtung und eine gleichmäßige Verteilung der Sensoren."
WO-2025215167-A1,gpt-5-mini,semantic,de,yes,lifted_wording,,"Frage und Antwort sind sachlich exakt, doch die Frage übernimmt nahezu die gesamte Terminologie des Abstracts und bietet für einen semantischen Benchmark zu wenig Paraphrase."
WO-2025215167-A1,qwen3.6-35b-a3b,semantic,de,yes,faithfulness,unanchored_generic,"Die starke konzeptionelle Paraphrase ist flüssig, führt aber die nicht belegten Eigenschaften „robust“ und „gleichmäßig“ ein und lässt die kennzeichnenden Quantensensoren beziehungsweise Nanodiamanten unerwähnt."
WO-2025215167-A1,sonnet-4.6,semantic,de,no,faithfulness,,"Der Herstellungsablauf ist korrekt wiedergegeben, doch weder Passage noch Antwort belegen die entscheidende Behauptung, dass die Quanteneigenschaften der Nanodiamanten erhalten bleiben."
