annotator,doc_id,slot,model,mode,rubric_used,rubric_switched,question_language,faith_grounding,faith_precision,faith_numerical_fidelity,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,linguistic,accept,faith_mean,quality_mean,composite,reason
human,WO-2025211336-A1,Q1,gemini-3.5-flash,semantic,semantic,0,en,4,4,5,,,,,4,5,4,4,5,yes,4.3333,4.25,4.5278,
human,WO-2025211336-A1,Q2,gpt-5-mini,semantic,technical,1,en,5,5,5,5,4,4,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2025211336-A1,Q3,sonnet-4.6,semantic,semantic,0,en,4,3,5,,,,,4,5,4,3,5,yes,4.0,4.0,4.3333,
human,WO-2025211336-A1,Q4,grok-4.3,semantic,technical,1,en,3,3,5,3,5,4,4,,,,,4,no,3.6667,4.0,3.8889,
human,WO-2025211336-A1,Q5,gpt-5.4-mini,semantic,semantic,0,en,3,1,5,,,,,4,3,2,2,5,no,3.0,2.75,3.5833,
human,WO-2025211336-A1,Q6,qwen3.6-35b-a3b,semantic,technical,1,en,3,3,5,4,5,4,4,,,,,4,yes,3.6667,4.25,3.9722,
human,EP-4584229-A1,Q1,gpt-5.4-mini,technical,technical,0,es,5,5,5,4,4,5,5,,,,,4,yes,5.0,4.5,4.5,
human,EP-4584229-A1,Q2,gemini-3.5-flash,technical,technical,0,es,5,5,5,5,5,5,5,,,,,4,yes,5.0,5.0,4.6667,
human,EP-4584229-A1,Q3,qwen3.6-35b-a3b,technical,technical,0,es,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4584229-A1,Q4,sonnet-4.6,technical,technical,0,es,5,5,5,5,5,4,5,,,,,5,yes,5.0,4.75,4.9167,
human,EP-4584229-A1,Q5,grok-4.3,technical,technical,0,es,5,5,5,4,4,5,5,,,,,3,yes,5.0,4.5,4.1667,
human,EP-4584229-A1,Q6,gpt-5-mini,technical,technical,0,es,5,5,5,4,4,5,5,,,,,4,yes,5.0,4.5,4.5,
human,WO-2025054647-A1,Q1,gpt-5.4-mini,semantic,semantic,0,es,4,4,5,,,,,5,5,4,5,5,yes,4.3333,4.75,4.6944,
human,WO-2025054647-A1,Q2,gpt-5-mini,semantic,semantic,0,es,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167,
human,WO-2025054647-A1,Q3,grok-4.3,semantic,semantic,0,es,4,4,5,,,,,5,5,4,5,4,yes,4.3333,4.75,4.3611,
human,WO-2025054647-A1,Q4,sonnet-4.6,semantic,semantic,0,es,4,4,5,,,,,5,5,4,5,3,yes,4.3333,4.75,4.0278,
human,WO-2025054647-A1,Q5,gemini-3.5-flash,semantic,semantic,0,es,3,2,5,,,,,5,5,3,3,5,no,3.3333,4.0,4.1111,
human,WO-2025054647-A1,Q6,qwen3.6-35b-a3b,semantic,semantic,0,es,5,3,5,,,,,5,5,3,4,4,yes,4.3333,4.25,4.1944,
human,EP-4630021-A1,Q1,gemini-3.5-flash,technical,technical,0,de,5,4,5,4,4,5,5,,,,,5,yes,4.6667,4.5,4.7222,
human,EP-4630021-A1,Q2,grok-4.3,technical,technical,0,de,4,4,5,5,5,5,5,,,,,2,yes,4.3333,5.0,3.7778,
human,EP-4630021-A1,Q3,gpt-5-mini,technical,technical,0,de,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4630021-A1,Q4,sonnet-4.6,technical,technical,0,de,5,5,5,5,5,4,5,,,,,2,yes,5.0,4.75,3.9167,
human,EP-4630021-A1,Q5,gpt-5.4-mini,technical,technical,0,de,5,5,5,4,4,5,5,,,,,2,yes,5.0,4.5,3.8333,
human,EP-4630021-A1,Q6,qwen3.6-35b-a3b,technical,technical,0,de,5,5,5,5,5,5,5,,,,,2,yes,5.0,5.0,4.0,
human,MX-2025009131-A,Q1,qwen3.6-35b-a3b,technical,technical,0,zh,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,MX-2025009131-A,Q2,gpt-5.4-mini,technical,technical,0,zh,5,5,5,3,3,5,5,,,,,5,yes,5.0,4.0,4.6667,
human,MX-2025009131-A,Q3,grok-4.3,technical,technical,0,zh,5,5,5,4,4,5,5,,,,,2,yes,5.0,4.5,3.8333,
human,MX-2025009131-A,Q4,gemini-3.5-flash,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,2,yes,5.0,5.0,4.0,
human,MX-2025009131-A,Q5,sonnet-4.6,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,2,yes,5.0,5.0,4.0,
human,MX-2025009131-A,Q6,gpt-5-mini,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,2,yes,5.0,5.0,4.0,
human,WO-2022005333-A1,Q1,gpt-5-mini,semantic,semantic,0,en,4,2,5,,,,,5,4,4,3,5,no,3.6667,4.0,4.2222,
human,WO-2022005333-A1,Q2,sonnet-4.6,semantic,semantic,0,en,4,2,5,,,,,5,4,4,3,5,no,3.6667,4.0,4.2222,
human,WO-2022005333-A1,Q3,qwen3.6-35b-a3b,semantic,semantic,0,en,5,5,5,,,,,5,4,4,5,5,yes,5.0,4.5,4.8333,
human,WO-2022005333-A1,Q4,gemini-3.5-flash,semantic,semantic,0,en,4,2,5,,,,,4,5,4,3,5,no,3.6667,4.0,4.2222,
human,WO-2022005333-A1,Q5,grok-4.3,semantic,semantic,0,en,4,2,5,,,,,5,4,4,3,5,no,3.6667,4.0,4.2222,
human,WO-2022005333-A1,Q6,gpt-5.4-mini,semantic,semantic,0,en,4,2,5,,,,,5,4,4,3,5,no,3.6667,4.0,4.2222,
human,EP-4627881-A1,Q1,qwen3.6-35b-a3b,semantic,semantic,0,zh,2,2,5,,,,,4,5,3,2,5,no,3.0,3.5,3.8333,
human,EP-4627881-A1,Q2,gemini-3.5-flash,semantic,semantic,0,zh,1,2,5,,,,,4,5,3,2,5,no,2.6667,3.5,3.7222,
human,EP-4627881-A1,Q3,gpt-5.4-mini,semantic,technical,1,zh,5,5,5,5,4,4,5,,,,,5,yes,5.0,4.5,4.8333,
human,EP-4627881-A1,Q4,sonnet-4.6,semantic,semantic,0,zh,4,4,5,,,,,5,5,4,5,5,yes,4.3333,4.75,4.6944,
human,EP-4627881-A1,Q5,gpt-5-mini,semantic,technical,1,zh,4,3,5,4,5,3,4,,,,,5,yes,4.0,4.0,4.3333,
human,EP-4627881-A1,Q6,grok-4.3,semantic,semantic,0,zh,3,3,5,,,,,5,5,4,3,5,no,3.6667,4.25,4.3056,
human,MX-2025007206-A,Q1,gpt-5-mini,technical,technical,0,de,5,5,5,3,3,5,5,,,,,5,yes,5.0,4.0,4.6667,
human,MX-2025007206-A,Q2,qwen3.6-35b-a3b,technical,technical,0,de,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025007206-A,Q3,gpt-5.4-mini,technical,technical,0,de,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025007206-A,Q4,gemini-3.5-flash,technical,technical,0,de,4,2,2,5,5,5,5,,,,,5,no,2.6667,5.0,4.2222,
human,MX-2025007206-A,Q5,grok-4.3,technical,technical,0,de,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025007206-A,Q6,sonnet-4.6,technical,technical,0,de,4,3,4,5,5,4,5,,,,,4,no,3.6667,4.75,4.1389,
human,MX-2025010190-A,Q1,gemini-3.5-flash,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025010190-A,Q2,sonnet-4.6,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025010190-A,Q3,qwen3.6-35b-a3b,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025010190-A,Q4,gpt-5.4-mini,technical,technical,0,en,5,5,5,3,3,5,5,,,,,5,yes,5.0,4.0,4.6667,
human,MX-2025010190-A,Q5,grok-4.3,technical,technical,0,en,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,MX-2025010190-A,Q6,gpt-5-mini,technical,technical,0,en,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,MX-2025005046-A,Q1,gemini-3.5-flash,semantic,semantic,0,de,4,3,5,,,,,5,5,4,4,5,yes,4.0,4.5,4.5,
human,MX-2025005046-A,Q2,gpt-5-mini,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,4,yes,5.0,5.0,4.6667,
human,MX-2025005046-A,Q3,gpt-5.4-mini,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0,
human,MX-2025005046-A,Q4,sonnet-4.6,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0,
human,MX-2025005046-A,Q5,grok-4.3,semantic,semantic,0,de,5,4,5,,,,,5,5,4,5,5,yes,4.6667,4.75,4.8056,
human,MX-2025005046-A,Q6,qwen3.6-35b-a3b,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0,
human,WO-2025207810-A1,Q1,gpt-5.4-mini,technical,technical,0,zh,5,5,5,4,4,5,5,,,,,4,yes,5.0,4.5,4.5,
human,WO-2025207810-A1,Q2,grok-4.3,technical,technical,0,zh,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2025207810-A1,Q3,sonnet-4.6,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,4,yes,5.0,5.0,4.6667,
human,WO-2025207810-A1,Q4,gemini-3.5-flash,technical,technical,0,zh,4,4,5,5,5,5,5,,,,,5,yes,4.3333,5.0,4.7778,
human,WO-2025207810-A1,Q5,gpt-5-mini,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025207810-A1,Q6,qwen3.6-35b-a3b,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4627127-A1,Q1,sonnet-4.6,technical,technical,0,de,5,4,5,4,5,5,5,,,,,4,yes,4.6667,4.75,4.4722,
human,EP-4627127-A1,Q2,grok-4.3,technical,technical,0,de,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,EP-4627127-A1,Q3,gpt-5-mini,technical,technical,0,de,5,5,5,4,5,5,5,,,,,5,yes,5.0,4.75,4.9167,
human,EP-4627127-A1,Q4,qwen3.6-35b-a3b,technical,technical,0,de,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4627127-A1,Q5,gpt-5.4-mini,technical,technical,0,de,5,5,5,1,1,5,5,,,,,5,no,5.0,3.0,4.3333,
human,EP-4627127-A1,Q6,gemini-3.5-flash,technical,technical,0,de,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4633645-A1,Q1,grok-4.3,technical,technical,0,fr,5,5,5,3,4,5,5,,,,,4,yes,5.0,4.25,4.4167,
human,EP-4633645-A1,Q2,qwen3.6-35b-a3b,technical,technical,0,fr,5,4,5,2,3,5,5,,,,,4,yes,4.6667,3.75,4.1389,
human,EP-4633645-A1,Q3,gpt-5-mini,technical,technical,0,fr,4,2,5,3,4,5,5,,,,,3,no,3.6667,4.25,3.6389,
human,EP-4633645-A1,Q4,gemini-3.5-flash,technical,technical,0,fr,5,2,5,2,2,4,4,,,,,3,yes,4.0,3.0,3.3333,
human,EP-4633645-A1,Q5,gpt-5.4-mini,technical,technical,0,fr,5,3,5,1,2,5,4,,,,,4,yes,4.3333,3.0,3.7778,
human,EP-4633645-A1,Q6,sonnet-4.6,technical,technical,0,fr,4,4,5,1,3,5,5,,,,,4,no,4.3333,3.5,3.9444,
human,MX-2025007510-A,Q1,grok-4.3,semantic,semantic,0,es,3,1,5,,,,,2,4,2,2,2,no,3.0,2.5,2.5,
human,MX-2025007510-A,Q2,qwen3.6-35b-a3b,semantic,semantic,0,es,3,3,4,,,,,4,5,4,3,5,yes,3.3333,4.0,4.1111,
human,MX-2025007510-A,Q3,gpt-5.4-mini,semantic,technical,1,es,5,4,4,4,3,2,5,,,,,4,yes,4.3333,3.5,3.9444,
human,MX-2025007510-A,Q4,gpt-5-mini,semantic,semantic,0,es,5,4,3,,,,,1,4,4,3,5,no,4.0,3.0,4.0,
human,MX-2025007510-A,Q5,sonnet-4.6,semantic,semantic,0,es,4,3,5,,,,,5,4,5,5,5,yes,4.0,4.75,4.5833,
human,MX-2025007510-A,Q6,gemini-3.5-flash,semantic,technical,1,es,4,3,3,3,5,3,4,,,,,4,yes,3.3333,3.75,3.6944,
human,EP-4577789-A1,Q1,gpt-5-mini,technical,technical,0,zh,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,EP-4577789-A1,Q2,grok-4.3,technical,technical,0,zh,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333,
human,EP-4577789-A1,Q3,gemini-3.5-flash,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4577789-A1,Q4,gpt-5.4-mini,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4577789-A1,Q5,sonnet-4.6,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,EP-4577789-A1,Q6,qwen3.6-35b-a3b,technical,technical,0,zh,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025212655-A1,Q1,qwen3.6-35b-a3b,semantic,semantic,0,de,4,3,5,,,,,5,5,4,4,4,yes,4.0,4.5,4.1667,
human,WO-2025212655-A1,Q2,grok-4.3,semantic,semantic,0,de,5,4,5,,,,,5,5,5,5,4,yes,4.6667,5.0,4.5556,
human,WO-2025212655-A1,Q3,gemini-3.5-flash,semantic,semantic,0,de,3,2,5,,,,,5,5,3,3,5,no,3.3333,4.0,4.1111,
human,WO-2025212655-A1,Q4,sonnet-4.6,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,4,yes,5.0,5.0,4.6667,
human,WO-2025212655-A1,Q5,gpt-5-mini,semantic,semantic,0,de,5,5,5,,,,,5,4,5,5,4,yes,5.0,4.75,4.5833,
human,WO-2025212655-A1,Q6,gpt-5.4-mini,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,4,yes,5.0,5.0,4.6667,
human,WO-2025202347-A1,Q1,sonnet-4.6,semantic,semantic,0,de,4,2,5,,,,,5,5,4,2,5,no,3.6667,4.0,4.2222,
human,WO-2025202347-A1,Q2,gpt-5.4-mini,semantic,semantic,0,de,4,3,5,,,,,5,4,4,4,5,yes,4.0,4.25,4.4167,
human,WO-2025202347-A1,Q3,grok-4.3,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0,
human,WO-2025202347-A1,Q4,qwen3.6-35b-a3b,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0,
human,WO-2025202347-A1,Q5,gemini-3.5-flash,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0,
human,WO-2025202347-A1,Q6,gpt-5-mini,semantic,semantic,0,de,5,5,5,,,,,5,5,5,5,4,yes,5.0,5.0,4.6667,
human,MX-2025006624-A,Q1,grok-4.3,semantic,semantic,0,fr,3,2,5,,,,,5,5,4,3,5,no,3.3333,4.25,4.1944,
human,MX-2025006624-A,Q2,gpt-5-mini,semantic,technical,1,fr,5,5,5,5,4,5,5,,,,,5,yes,5.0,4.75,4.9167,
human,MX-2025006624-A,Q3,gpt-5.4-mini,semantic,semantic,0,fr,5,4,5,,,,,5,5,5,5,5,yes,4.6667,5.0,4.8889,
human,MX-2025006624-A,Q4,gemini-3.5-flash,semantic,technical,1,fr,5,5,5,5,5,4,5,,,,,5,yes,5.0,4.75,4.9167,
human,MX-2025006624-A,Q5,sonnet-4.6,semantic,semantic,0,fr,3,2,5,,,,,5,5,4,2,5,no,3.3333,4.0,4.1111,
human,MX-2025006624-A,Q6,qwen3.6-35b-a3b,semantic,semantic,0,fr,3,2,5,,,,,5,5,4,2,3,no,3.3333,4.0,3.4444,
human,WO-2025187661-A8,Q1,qwen3.6-35b-a3b,semantic,semantic,0,es,3,2,5,,,,,5,5,3,2,5,no,3.3333,3.75,4.0278,
human,WO-2025187661-A8,Q2,gpt-5-mini,semantic,semantic,0,es,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167,
human,WO-2025187661-A8,Q3,gemini-3.5-flash,semantic,semantic,0,es,4,3,5,,,,,5,5,4,4,5,yes,4.0,4.5,4.5,
human,WO-2025187661-A8,Q4,grok-4.3,semantic,semantic,0,es,5,3,5,,,,,5,4,4,4,5,yes,4.3333,4.25,4.5278,
human,WO-2025187661-A8,Q5,gpt-5.4-mini,semantic,semantic,0,es,5,3,5,,,,,5,4,4,4,3,yes,4.3333,4.25,3.8611,
human,WO-2025187661-A8,Q6,sonnet-4.6,semantic,semantic,0,es,4,4,5,,,,,5,5,4,5,4,yes,4.3333,4.75,4.3611,
human,EP-4633791-A1,Q1,gpt-5.4-mini,semantic,semantic,0,zh,5,4,5,,,,,4,5,4,5,5,yes,4.6667,4.5,4.7222,
human,EP-4633791-A1,Q2,gemini-3.5-flash,semantic,semantic,0,zh,4,3,5,,,,,3,5,4,4,3,yes,4.0,4.0,3.6667,
human,EP-4633791-A1,Q3,qwen3.6-35b-a3b,semantic,semantic,0,zh,2,2,5,,,,,4,4,2,1,5,no,3.0,2.75,3.5833,
human,EP-4633791-A1,Q4,gpt-5-mini,semantic,technical,1,zh,2,1,5,4,4,4,4,,,,,4,no,2.6667,4.0,3.5556,
human,EP-4633791-A1,Q5,grok-4.3,semantic,semantic,0,zh,4,3,5,,,,,4,4,4,4,4,yes,4.0,4.0,4.0,
human,EP-4633791-A1,Q6,sonnet-4.6,semantic,semantic,0,zh,1,1,5,,,,,5,5,4,1,5,no,2.3333,3.75,3.6944,
human,EP-4634436-A1,Q1,gpt-5.4-mini,semantic,semantic,0,fr,5,4,5,,,,,4,4,4,5,5,yes,4.6667,4.25,4.6389,
human,EP-4634436-A1,Q2,sonnet-4.6,semantic,semantic,0,fr,3,2,5,,,,,5,5,4,2,5,no,3.3333,4.0,4.1111,
human,EP-4634436-A1,Q3,gpt-5-mini,semantic,semantic,0,fr,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167,
human,EP-4634436-A1,Q4,qwen3.6-35b-a3b,semantic,semantic,0,fr,2,2,5,,,,,5,5,4,2,5,no,3.0,4.0,4.0,
human,EP-4634436-A1,Q5,gemini-3.5-flash,semantic,semantic,0,fr,5,4,5,,,,,5,5,5,5,5,yes,4.6667,5.0,4.8889,
human,EP-4634436-A1,Q6,grok-4.3,semantic,semantic,0,fr,3,2,5,,,,,4,5,4,2,4,no,3.3333,3.75,3.6944,
human,WO-2025215167-A1,Q1,grok-4.3,semantic,semantic,0,de,4,4,5,,,,,5,5,4,5,5,yes,4.3333,4.75,4.6944,
human,WO-2025215167-A1,Q2,qwen3.6-35b-a3b,semantic,semantic,0,de,3,3,5,,,,,5,5,4,4,5,yes,3.6667,4.5,4.3889,
human,WO-2025215167-A1,Q3,gemini-3.5-flash,semantic,semantic,0,de,4,4,5,,,,,5,4,3,5,5,yes,4.3333,4.25,4.5278,
human,WO-2025215167-A1,Q4,gpt-5-mini,semantic,technical,1,de,5,5,5,5,4,4,5,,,,,5,yes,5.0,4.5,4.8333,
human,WO-2025215167-A1,Q5,sonnet-4.6,semantic,semantic,0,de,2,2,5,,,,,5,5,4,2,5,no,3.0,4.0,4.0,
human,WO-2025215167-A1,Q6,gpt-5.4-mini,semantic,technical,1,de,5,5,5,5,5,4,5,,,,,5,yes,5.0,4.75,4.9167,
human,MX-2025004470-A,Q1,gpt-5.4-mini,semantic,semantic,0,en,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167,
human,MX-2025004470-A,Q2,grok-4.3,semantic,semantic,0,en,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167,
human,MX-2025004470-A,Q3,gemini-3.5-flash,semantic,semantic,0,en,3,3,5,,,,,4,5,3,3,5,no,3.6667,3.75,4.1389,
human,MX-2025004470-A,Q4,qwen3.6-35b-a3b,semantic,semantic,0,en,3,2,5,,,,,4,5,2,2,5,no,3.3333,3.25,3.8611,
human,MX-2025004470-A,Q5,gpt-5-mini,semantic,semantic,0,en,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167,
human,MX-2025004470-A,Q6,sonnet-4.6,semantic,semantic,0,en,4,4,5,,,,,5,5,5,5,5,yes,4.3333,5.0,4.7778,
human,WO-2025177605-A1,Q1,qwen3.6-35b-a3b,technical,technical,0,fr,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025177605-A1,Q2,sonnet-4.6,technical,technical,0,fr,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025177605-A1,Q3,gpt-5.4-mini,technical,technical,0,fr,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025177605-A1,Q4,gemini-3.5-flash,technical,technical,0,fr,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
human,WO-2025177605-A1,Q5,gpt-5-mini,technical,technical,0,fr,5,4,5,5,4,5,5,,,,,5,yes,4.6667,4.75,4.8056,
human,WO-2025177605-A1,Q6,grok-4.3,technical,technical,0,fr,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0,
claude,EP-4504821-A1,Q1,grok-4.3,technical,technical,0,es,5,5,5,2,1,3,5,,,,,5,no,5.0,2.75,4.25,"Answer is exact, but 'what values can b take' has no anchoring context at all and would match countless patents with a variable b."
claude,EP-4504821-A1,Q2,qwen3.6-35b-a3b,technical,technical,0,es,5,5,5,2,1,3,5,,,,,5,no,5.0,2.75,4.25,"Correct answer (in English rather than Spanish), but the question is context-free and cannot narrow retrieval to this document."
