doc_id,model,mode,lang,question,answer,human_slot,human_keep,human_faith,human_quality,human_linguistic,human_composite,human_reason,claude_slot,claude_keep,claude_faith,claude_quality,claude_linguistic,claude_composite,claude_reason,gpt_slot,gpt_keep,gpt_faith,gpt_quality,gpt_linguistic,gpt_composite,gpt_reason,n_keep_votes,majority_keep
EP-4584229-A1,sonnet-4.6,technical,es,¿Qué representa el grupo R en la fórmula R-NR'H de los amino compounds utilizados en composiciones de polvos de dispersión?,a linear or branched and optionally substituted hydrocarbon group with 1 to 20 carbon atoms,Q4,yes,5.0,4.75,5,4.92,,Q2,yes,5.0,3.5,3,3.83,"Most specific question thanks to the dispersion-powder context, though the untranslated 'amino compounds' mars the Spanish.",Q3,no,5.0,4.0,3,4.0,"La respuesta reproduce fielmente la definición completa de R y el contexto es específico, pero el uso innecesario de «amino compounds» rompe la fluidez de una pregunta en español.",2,yes
EP-4627127-A1,gemini-3.5-flash,technical,de,"Für welche Art von Komponenten ist die formbare, korrosionsbeständige Aluminiumlegierung vorgesehen?",Strukturbauteile,Q6,yes,5.0,5.0,5,5.0,,Q1,yes,5.0,3.5,5,4.5,"Answer 'Strukturbauteile' matches the title's 'structural component'; question is a single fact but phrased conversationally rather than as a search query, and somewhat generic.",Q5,yes,5.0,4.0,5,4.67,"Die Antwort entspricht dem im Titel genannten strukturellen Einsatz und die Frage ist präzise, wenn auch eng an der Titelformulierung orientiert.",3,yes
EP-4627127-A1,gpt-5-mini,technical,de,Welche Festigkeit weisen die resultierenden Aluminiumlegierungsprodukte auf?,hohe Festigkeit,Q3,yes,5.0,4.75,5,4.92,,Q5,no,5.0,2.75,5,4.25,"Answer 'hohe Festigkeit' is supported, but the question is vacuous (asks for a strength value and gets 'high'), generic, and useless for retrieval.",Q6,no,5.0,3.5,5,4.5,"Die hohe Festigkeit ist korrekt belegt, aber die Abfrage ist als Suchanfrage zu generisch und könnte auf sehr viele Aluminiumlegierungspatente zutreffen.",1,no
EP-4627127-A1,gpt-5.4-mini,technical,de,Welcher Werkstoff wird gegossen?,eine Aluminiumlegierung,Q5,no,5.0,3.0,5,4.33,,Q4,no,5.0,2.75,5,4.25,Trivially grounded but entirely non-specific — 'which material is cast?' would match essentially any casting patent and cannot retrieve this document.,Q4,no,5.0,3.25,5,4.42,"Die Antwort ist zwar exakt belegt, doch die kontextlose Frage nach dem gegossenen Werkstoff ist zu allgemein, um das relevante Patent sinnvoll einzugrenzen.",0,no
EP-4627127-A1,grok-4.3,technical,de,Welche Verarbeitungsschritte werden bei Aluminiumlegierungsprodukten durchgeführt?,Gießen einer Aluminiumlegierung und Durchführung von maßgeschneidertem Walzen und nachgelagerten thermischen Verarbeitungsschritten,Q2,yes,5.0,4.5,5,4.83,,Q2,yes,5.0,2.75,5,4.25,"Answer is an accurate translation of the abstract's processing steps, but the question is very generic (could match countless aluminum alloy patents) and asks for a multi-part list.",Q3,yes,5.0,3.5,5,4.5,"Die vollständige Verfahrensfolge ist korrekt wiedergegeben, wobei die Frage relativ nah am Ausgangstext und etwas allgemein formuliert ist.",3,yes
EP-4627127-A1,qwen3.6-35b-a3b,technical,de,Welche Verarbeitungsschritte folgen auf das Gießen bei der Herstellung der Aluminiumlegierungsprodukte?,angepasstes Walzen und nachgelagerte Wärmebehandlungsschritte,Q4,yes,5.0,5.0,5,5.0,,Q6,yes,5.0,3.5,5,4.5,"Accurately grounded answer ('tailored rolling and downstream thermal processing'), better paraphrased and more specific than Q2 by anchoring on the post-casting steps, though still fairly generic.",Q1,yes,5.0,4.25,5,4.75,"Die Antwort gibt die beiden im Abstract unmittelbar auf das Gießen folgenden Verarbeitungsschritte präzise wieder, und die Frage ist klar sowie hinreichend spezifisch.",3,yes
EP-4627127-A1,sonnet-4.6,technical,de,"Für welchen Anwendungsbereich sind diese formbaren, korrosionsbeständigen Aluminiumlegierungen vorgesehen?",structural component,Q1,yes,4.67,4.75,4,4.47,,Q3,no,5.0,3.5,4,4.17,"Grounded, but the answer is in English while the question is German, 'diese' makes the question deictic and not standalone, and it duplicates Q1.",Q2,yes,4.67,4.25,5,4.64,"Der Titel stützt den Einsatz für ein Strukturbauteil eindeutig, auch wenn die englische Antwort sprachlich weniger gut zur deutschen Frage passt.",2,yes
EP-4627881-A1,gemini-3.5-flash,semantic,zh,当单一喷嘴所提供的电离气体束能效不足时，可以采用什么方案将多套发生装置集结协同运作？,"Plasmaerzeugungseinrichtung (100) 包含多个 Vorrichtungen (10, 10a, 10b)",Q2,no,2.67,3.5,5,3.72,,Q1,no,4.33,3.0,3,3.44,"The premise ('when a single nozzle's ionised gas beam is insufficient') and the terms nozzle/ionised gas beam are invented and not in the passage, the query is contrived, and the answer awkwardly mixes German terms with Chinese.",Q3,no,5.0,3.25,4,4.08,答案本身忠实于多个装置组成发生单元的原文，但问题虚构了单一喷嘴、电离气体束能效不足和协同运行等未获支持的情境。,0,no
EP-4627881-A1,gpt-5-mini,semantic,zh,有哪些专用硬件可以直接生成工业用等离子体火焰？,"用于生成至少一种等离子体火焰(12)的装置(10, 10a, 10b)。",Q5,yes,4.0,4.0,5,4.33,,Q6,no,5.0,2.75,5,4.25,Fluent but extremely generic ('what hardware generates industrial plasma flames') and would match countless plasma torch documents; answer is faithful but trivial.,Q1,yes,5.0,3.25,5,4.42,答案准确对应生成至少一种等离子体火焰的装置，但问题主要询问单一事实，且“工业用”使表述略宽于原文。,2,yes
EP-4627881-A1,gpt-5.4-mini,semantic,zh,如果要把多个等离子火焰发生装置组合起来，相关的等离子生成单元是怎样构成的？,"eine Plasmaerzeugungseinrichtung (100) umfassend mehrere Vorrichtungen (10, 10a, 10b)",Q3,yes,5.0,4.5,5,4.83,,Q3,yes,5.0,3.0,4,4.0,"Reasonable paraphrase of the plasma generation unit concept with a verbatim German answer span, though it is somewhat wordy and close to the source wording.",Q6,yes,5.0,3.75,5,4.58,问题自然且答案逐项忠实于原文中的单元构成，不过其措辞与原文概念非常接近，语义改写幅度较小。,3,yes
EP-4627881-A1,grok-4.3,semantic,zh,工业熔化设备中实现多等离子体火焰供应的系统如何构建？,"a plasma generation unit (100) comprising a plurality of devices (10, 10a, 10b)",Q6,no,3.67,4.25,5,4.31,,Q2,yes,5.0,4.0,5,4.67,"Natural, fluent query about constructing a multi-plasma-flame system for melting plants, with an answer extracted verbatim from the EN abstract.",Q5,yes,5.0,4.0,5,4.67,答案精确给出由多个装置构成的等离子体发生单元，且问题将其合理置于工业熔化和多火焰供应的系统构建语境中。,2,yes
EP-4627881-A1,qwen3.6-35b-a3b,semantic,zh,面对连续化生产要求，如何将独立的小型发生器集成到完整产线中？,包含多个上述发生装置的等离子体发生单元,Q1,no,3.0,3.5,5,3.83,,Q4,no,4.0,3.0,4,3.67,"The question's framing (continuous production, small generators, complete production line) is not in the passage and is too generic to retrieve it, even though the answer itself is a fair Chinese rendering of the plasma generation unit.",Q4,no,5.0,3.75,5,4.58,答案准确概括等离子体发生单元的构成，但连续化生产、小型发生器和完整产线均非原文信息，使检索框架失真。,0,no
EP-4627881-A1,sonnet-4.6,semantic,zh,有没有一种统一的控制方法，可以同时适用于单台等离子体发生器和整套高温熔融系统？,"一种用于操作此类设备（10, 10a, 10b）、此类等离子体发生装置（100）或此类高温工艺设备（尤其是熔融装置（26））的方法",Q4,yes,4.33,4.75,5,4.69,,Q5,yes,5.0,3.5,5,4.5,"Fluent conceptual query about an operating method spanning single devices and the whole melting plant, with a faithful Chinese translation of the passage's method clause; 'unified control' is a slight stretch of 'operating method'.",Q2,yes,5.0,4.25,5,4.75,答案完整涵盖设备、等离子体发生单元及高温工艺设备的操作方法，问题也以适用范围进行了较自然的概念化改写。,3,yes
EP-4630021-A1,gemini-3.5-flash,technical,de,Aus welchen Ausgangsstoffen werden pferdespezifische therapeutische Zusammensetzungen hergestellt?,aus der Plazenta gewonnenen Materialien,Q1,yes,4.67,4.5,5,4.72,,Q5,yes,5.0,4.5,4,4.5,"Good paraphrase ('Ausgangsstoffe', 'pferdespezifisch') with a faithful answer; answer phrase 'aus der Plazenta gewonnenen Materialien' is slightly ungrammatical standalone.",Q4,yes,5.0,4.5,5,4.83,"This is a fluent, focused, and suitably paraphrased query whose answer accurately identifies the placental-derived starting materials.",3,yes
EP-4630021-A1,gpt-5-mini,technical,de,Welche Materialien enthalten die equinen therapeutischen Zusammensetzungen?,Plazenta-abgeleitete Materialien,Q3,yes,5.0,5.0,5,5.0,,Q4,yes,5.0,4.25,5,4.75,"Concise, specific query combining equine and therapeutic compositions; answer (placental-derived materials) is directly supported.",Q5,yes,5.0,4.0,5,4.67,"The question and answer are fully faithful and focused, though the wording remains fairly close to the source formulation.",3,yes
EP-4630021-A1,gpt-5.4-mini,technical,de,Welche Eigenschaften hat das flüssige Injektionsprodukt?,"clear, safe, and physiologically and biologically active",Q5,yes,5.0,4.5,2,3.83,,Q1,no,5.0,2.75,5,4.25,"Answer is exact, but 'Welche Eigenschaften hat das flüssige Injektionsprodukt' lacks any equine/placental anchor and would match countless injectable documents.",Q1,no,5.0,3.5,5,4.5,"The answer is directly supported and the question is fluent, but the generic reference to „das flüssige Injektionsprodukt“ is too underspecified to retrieve this document reliably.",1,no
EP-4630021-A1,grok-4.3,technical,de,Welche Eigenschaften besitzt das produzierte Amnion- und Fruchtwasser-Injektionsprodukt?,"clear, safe, and physiologically and biologically active liquid injectable",Q2,yes,4.33,5.0,2,3.78,,Q3,yes,5.0,3.75,5,4.58,"Names the amnion/amniotic-fluid injectable explicitly so it targets this document, and the answer is an exact span.",Q6,yes,4.33,4.0,5,4.44,"The listed properties are supported for the therapeutic liquid injectable overall, although applying all of them specifically to the amnion and amniotic-fluid product requires a minor cross-sentence inference.",3,yes
EP-4630021-A1,qwen3.6-35b-a3b,technical,de,Welche Komponenten bleiben nach der Aufbereitung des Injektionsprodukts erhalten?,"postbiotics, proteins, exosomes, biocomponents",Q6,yes,5.0,5.0,2,4.0,,Q2,no,5.0,3.5,5,4.5,"Answer list is exact and the question is well paraphrased, but 'Injektionsprodukt' alone gives no equine/amnion/placenta cue, so it barely narrows to this patent.",Q2,yes,5.0,4.0,4,4.33,"The preserved components are extracted exactly from the passage, and the focused query is useful despite being somewhat generic and slightly imprecise about what undergoes processing.",2,yes
EP-4630021-A1,sonnet-4.6,technical,de,Was wird bei der Verarbeitung von eingehendem plazentaren Gewebe und Fluid mit Verfärbungen und Verunreinigungen als Endprodukt erzeugt?,a clear amnion and amniotic fluid injectable product,Q4,yes,5.0,4.75,2,3.92,,Q6,yes,5.0,3.75,5,4.58,"Highly specific and faithfully answered, but the long, near-translated sentence reads more like a comprehension question than a search-bar query.",Q3,yes,5.0,3.75,4,4.25,"The answer is an exact supported product description and the query is highly specific, although its long wording closely mirrors the source.",3,yes
EP-4633645-A1,gemini-3.5-flash,technical,fr,Quel état de l'ubiquitine Ser65 caractérise les pathologies neurodégénératives ciblées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,Q4,yes,4.0,3.0,3,3.33,,Q5,no,5.0,3.0,4,4.0,"Answer is faithful, but 'Quel état de l'ubiquitine Ser65' is an unnatural formulation that leaks the key term and reads poorly as a search query.",Q5,yes,5.0,4.5,4,4.5,"La réponse est intégralement fondée et la paraphrase est efficace, bien que le terme « état » soit légèrement moins précis que « niveau de phosphorylation ».",2,yes
EP-4633645-A1,gpt-5-mini,technical,fr,Quel site de phosphorylation de l'ubiquitine est élevé dans les maladies neurodégénératives ?,phosphorylation de l'ubiquitine Ser65,Q3,no,3.67,4.25,3,3.64,,Q3,yes,4.67,3.25,4,3.97,"Supported and focused, but the answer ('phosphorylation de l'ubiquitine Ser65') slightly mismatches the question asking for the site (Ser65) and the question already reveals most of the answer terms.",Q4,no,4.33,3.5,3,3.61,"Le passage soutient la réponse, mais la question confond le site de phosphorylation, qui est Ser65, avec le niveau de phosphorylation, qui est élevé.",1,no
EP-4633645-A1,gpt-5.4-mini,technical,fr,Quelle caractéristique de phosphorylation est associée aux maladies neurodégénératives visées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,Q5,yes,4.33,3.0,4,3.78,,Q2,yes,5.0,3.25,5,4.42,"Faithful answer and a reasonably paraphrased, single-fact question, though 'caractéristique de phosphorylation' is somewhat vague and only weakly anchored to this patent.",Q1,yes,5.0,4.25,5,4.75,"La réponse reprend exactement la caractéristique indiquée dans le passage, et la question est claire, ciblée et suffisamment spécifique.",3,yes
EP-4633645-A1,grok-4.3,technical,fr,Quel niveau de phosphorylation de l'ubiquitine Ser65 caractérise les maladies neurodégénératives traitées ?,niveau élevé,Q1,yes,5.0,4.25,4,4.42,,Q1,no,5.0,2.75,4,3.92,"Answer is exact, but the question gives away the key terms and asks only for a trivial qualifier ('élevé'), reading more like a cloze test than a search query.",Q3,yes,5.0,3.75,5,4.58,"La réponse « niveau élevé » est exacte et répond précisément à la question, même si la formulation reste très proche du texte source.",2,yes
EP-4633645-A1,qwen3.6-35b-a3b,technical,fr,Quelle modification biochimique spécifique est élevée dans les affections neurodégénératives ciblées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,Q2,yes,4.67,3.75,4,4.14,,Q4,yes,5.0,3.5,5,4.5,"Well-paraphrased single-fact question with an exact answer, though 'affections neurodégénératives ciblées' alone does not strongly narrow to this document.",Q6,no,4.67,3.75,4,4.14,"La réponse est bien extraite, mais la question omet l'ubiquitine Ser65 et la formule (I), ce qui la rend trop générique pour retrouver spécifiquement ce document.",2,yes
EP-4633645-A1,sonnet-4.6,technical,fr,Quel marqueur biologique caractérise les maladies neurodégénératives traitées par les composés de formule (I) ?,Un niveau élevé de phosphorylation de l'ubiquitine Ser65,Q6,no,4.33,3.5,4,3.94,,Q6,yes,5.0,4.0,5,4.67,"Best of the set: faithful answer, natural paraphrase ('marqueur biologique'), and the reference to compounds of formula (I) anchors the query to this patent without leaking the answer.",Q2,yes,5.0,4.5,5,4.83,"Le marqueur demandé est directement attesté, tandis que la mention des composés de formule (I) rend la requête particulièrement distinctive.",2,yes
EP-4633791-A1,gemini-3.5-flash,semantic,zh,这种微包裹体通常适用于哪些类型的加香日化产品？,家庭护理或个人护理产品形式的加香消费品,Q2,yes,4.0,4.0,3,3.67,,Q6,yes,5.0,3.5,4,4.17,"Well paraphrased ('微包裹体', '加香日化产品') and the answer is exactly supported, though the demonstrative '这种' makes it somewhat context-dependent as a standalone query.",Q2,yes,5.0,3.25,4,4.08,问题虽使用略显生硬的“微包裹体”和泛指词“这种”，但答案准确概括了原文明确列出的家居护理与个人护理产品类别。,3,yes
EP-4633791-A1,gpt-5-mini,semantic,zh,有哪些新的工艺可用于制备以蛋白质为基础的微胶囊？,一种制备蛋白质基微胶囊的新工艺。,Q4,no,2.67,4.0,4,3.56,,Q5,yes,4.67,2.75,4,3.81,"Faithful and retrieves the document well, but the question nearly mirrors the abstract wording and the answer is circular ('a new process') with no substantive content.",Q4,no,4.0,2.5,5,3.83,原文只宣称存在一种新工艺而没有披露工艺内容，因此答案无法回应“有哪些工艺”这一要求且几乎只是重复问题。,1,no
EP-4633791-A1,gpt-5.4-mini,semantic,zh,这类带香味的消费品更偏向哪些日常护理场景？,家居护理或个人护理产品,Q1,yes,4.67,4.5,5,4.72,,Q3,no,5.0,2.25,3,3.42,"Answer is correct, but the question is anaphoric ('这类') and generic, with awkward phrasing ('更偏向'), so it would not retrieve this passage over any other perfumed-product document.",Q6,no,5.0,3.25,5,4.42,答案准确对应原文的家居护理和个人护理场景，但“这类”缺乏独立指代且问题未提及蛋白质微胶囊，难以有效定位该文献。,1,no
EP-4633791-A1,grok-4.3,semantic,zh,蛋白质基微胶囊适合加入到哪些家用或个人护理产品中发挥作用？,香味组合物和包含所述微胶囊的消费产品，特别是以家用护理或个人护理产品形式存在的香味消费产品,Q5,yes,4.0,4.0,4,4.0,,Q1,yes,4.67,3.5,4,4.06,"Answer is a faithful rendering of the abstract's application sentence; question is a plausible query naming protein microcapsules and home/personal care, though fairly close to the passage wording.",Q3,no,4.67,3.25,4,3.97,答案有原文依据，但问题已直接给出“家用或个人护理”这一核心答案线索，且“发挥作用”的表述没有得到说明。,2,yes
EP-4633791-A1,qwen3.6-35b-a3b,semantic,zh,家用清洁或个人洗护产品如何通过微囊化技术整合香氛成分？,含有所述微胶囊的香调组合物以及包含这些微胶囊的消费产品，尤其是以家庭护理或个人护理产品形式出现的含香消费产品。,Q3,no,3.0,2.75,5,3.58,,Q4,yes,4.0,3.75,4,3.92,"Good conceptual query about integrating fragrance into household/personal care products via microencapsulation, but the passage gives no 'how', so the answer merely restates the product list and only loosely answers the question.",Q1,no,4.33,3.75,5,4.36,答案忠实复述了含微胶囊的香氛组合物及护理产品，但并未真正说明如何通过微囊化整合香氛成分。,1,no
EP-4633791-A1,sonnet-4.6,semantic,zh,有没有一种不依赖合成聚合物壳材、利用天然生物大分子封装香料的微囊化技术？,La présente invention concerne un nouveau procédé de préparation de microcapsules à base de protéines,Q6,no,2.33,3.75,5,3.69,,Q2,yes,5.0,4.75,5,4.92,"Strongly paraphrased, concept-level query (natural biomacromolecule vs synthetic shell) that maps well to protein-based fragrance microcapsules; answer is a verbatim French span, though the 'no synthetic polymer' contrast is the asker's framing rather than stated in the passage.",Q5,no,3.33,5.0,5,4.44,查询具有很强的概念性和检索价值，但原文并未说明不使用合成聚合物、采用天然生物大分子或将香料封装其中，所引法文答案也仅证明存在蛋白质基微胶囊制备工艺。,1,no
EP-4634436-A1,gemini-3.5-flash,semantic,fr,Quel protocole de validation applique-t-on suite à la substitution de composants détériorés pour garantir l'absence de pannes résiduelles ?,l'exécution d'un deuxième test pour évaluer s'il reste au moins une autre cellule endommagée,Q5,yes,4.67,5.0,5,4.89,,Q4,no,5.0,3.5,5,4.5,"Heavily paraphrased and accurate, but so abstracted (components, faults, validation protocol) that it would match countless maintenance documents and not retrieve this electrolyzer passage.",Q2,yes,4.67,4.0,5,4.56,"Le deuxième test après remplacement est bien décrit et fortement paraphrasé, quoique « garantir » soit légèrement plus fort que la simple évaluation mentionnée dans le passage.",2,yes
EP-4634436-A1,gpt-5-mini,semantic,fr,"Quelle action est entreprise si, après le remplacement initial, le contrôle détecte encore des cellules endommagées ?","lorsqu'un résultat du deuxième test indique qu'il reste la ou les autres cellules endommagées, l'arrêt de l'électrolyseur et la répétition de l'exécution du ou des premiers tests, le remplacement de la ou des cellules, et l'exécution du deuxième test,",Q3,yes,5.0,4.75,5,4.92,,Q1,yes,4.67,3.25,5,4.31,Answer is a verbatim span matching the conditional step; question is well paraphrased but reads more like a comprehension question than a retrieval query and is somewhat generic.,Q3,yes,4.67,3.75,5,4.47,"La réponse restitue fidèlement l’arrêt puis la répétition du cycle de test et de remplacement, avec seulement un peu de contexte conditionnel superflu.",3,yes
