doc_id,model,mode,lang,human_keep,primary_category,secondary_categories,reason
EP-4627881-A1,gpt-5-mini,semantic,zh,yes,unanchored_generic,trivial_tautological,Fluent but extremely generic ('what hardware generates industrial plasma flames') and would match countless plasma torch documents; answer is faithful but trivial.
EP-4627881-A1,qwen3.6-35b-a3b,semantic,zh,no,faithfulness,unanchored_generic,"The question's framing (continuous production, small generators, complete production line) is not in the passage and is too generic to retrieve it, even though the answer itself is a fair Chinese rendering of the plasma generation unit."
EP-4630021-A1,gpt-5.4-mini,technical,de,yes,unanchored_generic,,"Answer is exact, but 'Welche Eigenschaften hat das flüssige Injektionsprodukt' lacks any equine/placental anchor and would match countless injectable documents."
EP-4630021-A1,qwen3.6-35b-a3b,technical,de,yes,unanchored_generic,,"Answer list is exact and the question is well paraphrased, but 'Injektionsprodukt' alone gives no equine/amnion/placenta cue, so it barely narrows to this patent."
EP-4633645-A1,gemini-3.5-flash,technical,fr,yes,not_search_like,lifted_wording,"Answer is faithful, but 'Quel état de l'ubiquitine Ser65' is an unnatural formulation that leaks the key term and reads poorly as a search query."
EP-4633645-A1,grok-4.3,technical,fr,yes,trivial_tautological,not_search_like,"Answer is exact, but the question gives away the key terms and asks only for a trivial qualifier ('élevé'), reading more like a cloze test than a search query."
EP-4633791-A1,gpt-5.4-mini,semantic,zh,yes,unanchored_generic,not_search_like,"Answer is correct, but the question is anaphoric ('这类') and generic, with awkward phrasing ('更偏向'), so it would not retrieve this passage over any other perfumed-product document."
EP-4634436-A1,gemini-3.5-flash,semantic,fr,yes,unanchored_generic,,"Heavily paraphrased and accurate, but so abstracted (components, faults, validation protocol) that it would match countless maintenance documents and not retrieve this electrolyzer passage."
EP-4634436-A1,qwen3.6-35b-a3b,semantic,fr,no,faithfulness,,"Question adds claims not in the passage ('fissurées', 'sans démonter l'ensemble de la pile') and localisation is not what the test is said to do, so the question premise is partly unsupported."
MX-2025002756-A,gpt-5-mini,technical,en,yes,unanchored_generic,,"Correct answer, but 'the alloy' gives no context (not even brass or lead-free), making it arbitrary as a retrieval query."
MX-2025002756-A,qwen3.6-35b-a3b,technical,en,yes,unanchored_generic,,"Answer is correct but 'the alloy' is unanchored, so the query would match countless lead-limited alloy documents."
MX-2025004470-A,qwen3.6-35b-a3b,semantic,en,no,faithfulness,unanchored_generic,'Precise thermal regulation' is not something the passage claims—it only says an electrical element heats the feed—so the question overreaches and is too generic to single out this document.
MX-2025005046-A,gpt-5-mini,semantic,de,yes,not_search_like,near_duplicate;unanchored_generic,"Answer is grounded but has a grammar error ('radikalisierten Sauerstoffmolekülen' should be genitive 'radikalisierter Sauerstoffmoleküle') and the question is long, never mentions water, and largely duplicates Q3/Q5."
MX-2025006624-A,gpt-5-mini,semantic,fr,yes,answer_language_mismatch,answer_form;lifted_wording,"Faithful but the answer is a long, half-translated English/French mash-up with padding, and the question largely reuses passage vocabulary with a redundant 'origine biobasée'."
MX-2025007206-A,gemini-3.5-flash,technical,de,no,faithfulness,not_search_like;near_duplicate,Awkward German ('Über welcher Lagertemperatur' instead of 'Oberhalb welcher') and a bare '-80°C' answer that drops the 'above' threshold direction make it the weakest of several near-identical items.
MX-2025007206-A,gpt-5-mini,technical,de,yes,unanchored_generic,not_search_like,"The answer is faithful, but the query names no rAAV/formulation anchor and is phrased as a meta-question about what the text 'nennt', so it would match arbitrary storage-temperature documents."
MX-2025009131-A,gpt-5-mini,technical,zh,yes,unanchored_generic,,"Answer is exact, but the question ('what kind of polymer is the polymer composed of') has no anchoring context and would match countless polymer documents."
MX-2025009131-A,gpt-5.4-mini,technical,zh,yes,unanchored_generic,,Faithful and fluent but too generic ('what fluid pressurizes the chamber') with no domain anchor.
MX-2025009131-A,grok-4.3,technical,zh,yes,unanchored_generic,,"Answer is grounded, but 'why maintain elevated pressure' is context-free and arbitrarily generic as a retrieval query."
MX-2025009131-A,qwen3.6-35b-a3b,technical,zh,yes,unanchored_generic,,"Correct answer and decent paraphrase, but lacks the foam/polymer context needed to narrow to this document."
MX-2025010190-A,gpt-5-mini,technical,en,yes,unanchored_generic,,"Answer is exact, but 'recombinant polypeptide' with 'amino acid profile' is generic and the question gives little to distinguish this patent from many others."
MX-2025010190-A,gpt-5.4-mini,technical,en,yes,trivial_tautological,unanchored_generic,Trivially true of almost any biotech patent; the question cannot narrow to this document at all.
MX-2025010190-A,grok-4.3,technical,en,yes,lifted_wording,not_search_like,"Answer is verbatim-supported and the query is specific, but the question is lifted almost word-for-word from the abstract and reads as a sentence, not a search query."
WO-2022005333-A1,gemini-3.5-flash,semantic,en,no,not_search_like,lifted_wording,"Grounded answer, but 'How can chemical processors salvage ... for fuel synthesis' is stilted and unlike a real search query, and retains 'low-demand' and 'olefins' from the passage."
WO-2025054647-A1,gpt-5-mini,semantic,es,yes,multi_fact,not_search_like,Answer is faithful but the question is a two-part compound with the misspelling 'termochímico' and reads more like a summary prompt than a retrieval query.
WO-2025054647-A1,gpt-5.4-mini,semantic,es,yes,unanchored_generic,answer_language_mismatch,"Question is too generic ('de este tipo') to distinguish this passage, and the answer is a sloppy translation leaving French 'plage' untranslated."
WO-2025177605-A1,gpt-5-mini,technical,fr,yes,unanchored_generic,answer_form,"Answer is exact, but the question lacks any retort/welding context and 'Ni-based alloy with Al' matches many patents; also asks for 'what percentage' while the answer is a minimum threshold."
WO-2025177605-A1,gpt-5.4-mini,technical,fr,yes,unanchored_generic,lifted_wording,"Answer correct but the question lifts 'partie de jonction du matériau de base' verbatim and omits 'cornue', making it generic to any welding patent."
WO-2025177605-A1,grok-4.3,technical,fr,yes,unanchored_generic,,"Correctly framed as a minimum, but no mention of retort or welding so it would match arbitrary Ni-Al alloy documents."
WO-2025187661-A8,gpt-5-mini,semantic,es,yes,unanchored_generic,,"'Esta composición de resina' presupposes the document is already in hand, so as a standalone retrieval query it is too vague to find this passage among others."
WO-2025187661-A8,gpt-5.4-mini,semantic,es,yes,answer_language_mismatch,answer_form,"Question is fine but the answer is a dangling, half-translated fragment ('puede ser impedida de formar burrs') that mixes languages and does not stand on its own."
WO-2025187661-A8,qwen3.6-35b-a3b,semantic,es,no,answer_language_mismatch,answer_form;faithfulness,"The answer is an untranslated English fragment that does not actually name the approach asked for, and 'exudaciones' introduces a defect not in the passage."
WO-2025202347-A1,qwen3.6-35b-a3b,semantic,de,yes,faithfulness,trivial_tautological,"The passage states no 'formulation strategy'; the question presupposes something absent, and the answer merely restates the claim wording so the question is circular and unrealistic."
WO-2025207810-A1,gpt-5.4-mini,technical,zh,yes,answer_language_mismatch,near_duplicate;not_search_like,Correct answer but unnatural mixed-language phrasing and redundant with Q1/Q3/Q5 which ask the same fact more fluently.
WO-2025210445-A1,gemini-3.5-flash,technical,fr,yes,unanchored_generic,near_duplicate;lifted_wording,"Identical to Q4: correct answer but generic, source-lifted phrasing with no document-specific anchor."
WO-2025210445-A1,gpt-5-mini,technical,fr,yes,unanchored_generic,answer_form,"Keyword-style query is realistic but far too generic to single out this patent, and the answer bundles both nested ranges while the question asks for one preferred range."
WO-2025210445-A1,gpt-5.4-mini,technical,fr,yes,unanchored_generic,not_search_like,"Slightly better paraphrased than Q4/Q5 and correct, but still has no topical anchor to this patent and reads awkwardly ('la plus préférée entre les électrodes') rather than like a search query."
WO-2025210445-A1,grok-4.3,technical,fr,no,unanchored_generic,answer_form,"Grammatical and grounded, but 'quelle tension entre les électrodes' would match almost any electrochemistry document and the answer gives two ranges rather than one fact."
WO-2025210445-A1,qwen3.6-35b-a3b,technical,fr,yes,unanchored_generic,lifted_wording,"Faithful and single-fact, but it lacks any anchor to this invention (Fenton, pollutants, water) so it would not narrow retrieval, and it is a near-verbatim lift of the source wording."
WO-2025211128-A1,gpt-5-mini,technical,en,no,unanchored_generic,not_search_like,"Faithful answer, but the question lacks any subject (silicon, polycrystalline) and reads awkwardly, giving no retrieval signal."
WO-2025211128-A1,gpt-5.4-mini,technical,en,no,unanchored_generic,,"Answer is correct but the question names no material or component at all, so it would match arbitrary documents."
WO-2025211336-A1,gpt-5.4-mini,semantic,en,no,answer_form,lifted_wording,"The question asks 'how' but the answer merely restates the properties rather than the means (the composition components), so the answer fragment does not respond to the question and the wording largely copies the abstract."
WO-2025212655-A1,gpt-5-mini,semantic,de,yes,unanchored_generic,,"Answer is faithful, but 'zahlreiche Vorlagen auf einem festen Träger' is too generic to single out this passage (no hint of RCA, concatemers or nanoballs)."
