doc_id,slot,model,mode,rubric_used,rubric_switched,question_language,strategy,faith_grounding,faith_precision,faith_numerical_fidelity,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,linguistic,accept,faith_mean,quality_mean,composite
WO-2025210445-A1,q2,gpt-5-mini,technical,semantic,1,fr,random_existing,5,5,5,,,,,4,3,5,5,3,yes,5.0,4.25,4.0833
WO-2025210445-A1,q3,grok-4.3,technical,semantic,1,fr,random_existing,5,3,5,,,,,2,2,5,4,5,no,4.3333,3.25,4.1944
WO-2025210445-A1,q4,qwen3.6-35b-a3b,technical,semantic,1,fr,random_existing,5,5,5,,,,,3,3,5,5,5,yes,5.0,4.0,4.6667
WO-2025210445-A1,q5,gemini-3.5-flash,technical,semantic,1,fr,random_existing,5,5,5,,,,,3,3,5,5,5,yes,5.0,4.0,4.6667
WO-2025210445-A1,q6,sonnet-4.6,technical,semantic,1,fr,random_existing,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0
MX-2025002756-A,q1,grok-4.3,technical,technical,0,en,random_any,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025002756-A,q2,gemini-3.5-flash,technical,technical,0,en,random_any,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025002756-A,q3,gpt-5.4-mini,technical,technical,0,en,random_any,5,5,5,5,5,5,5,,,,,4,yes,5.0,5.0,4.6667
MX-2025002756-A,q4,qwen3.6-35b-a3b,technical,technical,0,en,random_any,5,4,5,4,4,5,5,,,,,5,yes,4.6667,4.5,4.7222
MX-2025002756-A,q5,sonnet-4.6,technical,technical,0,en,random_any,5,4,5,5,5,5,5,,,,,5,yes,4.6667,5.0,4.8889
MX-2025002756-A,q6,gpt-5-mini,technical,technical,0,en,random_any,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
EP-4504821-A1,q1,sonnet-4.6,technical,technical,0,es,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4504821-A1,q2,grok-4.3,technical,technical,0,es,random_missing,5,5,5,2,2,5,5,,,,,5,yes,5.0,3.5,4.5
EP-4504821-A1,q3,gemini-3.5-flash,technical,technical,0,es,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4504821-A1,q4,gpt-5-mini,technical,technical,0,es,random_missing,5,5,5,3,3,5,5,,,,,5,yes,5.0,4.0,4.6667
EP-4504821-A1,q5,gpt-5.4-mini,technical,technical,0,es,random_missing,5,5,5,2,2,5,5,,,,,4,yes,5.0,3.5,4.1667
EP-4504821-A1,q6,qwen3.6-35b-a3b,technical,technical,0,es,random_missing,5,5,5,2,2,5,5,,,,,2,yes,5.0,3.5,3.5
WO-2025211336-A1,q1,gemini-3.5-flash,semantic,semantic,0,en,random_existing,4,4,5,,,,,4,5,4,4,5,yes,4.3333,4.25,4.5278
WO-2025211336-A1,q2,gpt-5-mini,semantic,technical,1,en,random_existing,5,5,5,5,4,4,5,,,,,5,yes,5.0,4.5,4.8333
WO-2025211336-A1,q3,sonnet-4.6,semantic,semantic,0,en,random_existing,4,3,5,,,,,4,5,4,3,5,yes,4.0,4.0,4.3333
WO-2025211336-A1,q4,grok-4.3,semantic,technical,1,en,random_existing,3,3,5,3,5,4,4,,,,,4,no,3.6667,4.0,3.8889
WO-2025211336-A1,q5,gpt-5.4-mini,semantic,semantic,0,en,random_existing,3,1,5,,,,,4,3,2,2,5,no,3.0,2.75,3.5833
WO-2025211336-A1,q6,qwen3.6-35b-a3b,semantic,technical,1,en,random_existing,3,3,5,4,5,4,4,,,,,4,yes,3.6667,4.25,3.9722
EP-4584229-A1,q1,gpt-5.4-mini,technical,technical,0,es,random_missing,5,5,5,4,4,5,5,,,,,4,yes,5.0,4.5,4.5
EP-4584229-A1,q2,gemini-3.5-flash,technical,technical,0,es,random_missing,5,5,5,5,5,5,5,,,,,4,yes,5.0,5.0,4.6667
EP-4584229-A1,q3,qwen3.6-35b-a3b,technical,technical,0,es,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4584229-A1,q4,sonnet-4.6,technical,technical,0,es,random_missing,5,5,5,5,5,4,5,,,,,5,yes,5.0,4.75,4.9167
EP-4584229-A1,q5,grok-4.3,technical,technical,0,es,random_missing,5,5,5,4,4,5,5,,,,,3,yes,5.0,4.5,4.1667
EP-4584229-A1,q6,gpt-5-mini,technical,technical,0,es,random_missing,5,5,5,4,4,5,5,,,,,4,yes,5.0,4.5,4.5
WO-2025054647-A1,q1,gpt-5.4-mini,semantic,semantic,0,es,random_missing,4,4,5,,,,,5,5,4,5,5,yes,4.3333,4.75,4.6944
WO-2025054647-A1,q2,gpt-5-mini,semantic,semantic,0,es,random_missing,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167
WO-2025054647-A1,q3,grok-4.3,semantic,semantic,0,es,random_missing,4,4,5,,,,,5,5,4,5,4,yes,4.3333,4.75,4.3611
WO-2025054647-A1,q4,sonnet-4.6,semantic,semantic,0,es,random_missing,4,4,5,,,,,5,5,4,5,3,yes,4.3333,4.75,4.0278
WO-2025054647-A1,q5,gemini-3.5-flash,semantic,semantic,0,es,random_missing,3,2,5,,,,,5,5,3,3,5,no,3.3333,4.0,4.1111
WO-2025054647-A1,q6,qwen3.6-35b-a3b,semantic,semantic,0,es,random_missing,5,3,5,,,,,5,5,3,4,4,yes,4.3333,4.25,4.1944
EP-4630021-A1,q1,gemini-3.5-flash,technical,technical,0,de,random_missing,5,4,5,4,4,5,5,,,,,5,yes,4.6667,4.5,4.7222
EP-4630021-A1,q2,grok-4.3,technical,technical,0,de,random_missing,4,4,5,5,5,5,5,,,,,2,yes,4.3333,5.0,3.7778
EP-4630021-A1,q3,gpt-5-mini,technical,technical,0,de,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4630021-A1,q4,sonnet-4.6,technical,technical,0,de,random_missing,5,5,5,5,5,4,5,,,,,2,yes,5.0,4.75,3.9167
EP-4630021-A1,q5,gpt-5.4-mini,technical,technical,0,de,random_missing,5,5,5,4,4,5,5,,,,,2,yes,5.0,4.5,3.8333
EP-4630021-A1,q6,qwen3.6-35b-a3b,technical,technical,0,de,random_missing,5,5,5,5,5,5,5,,,,,2,yes,5.0,5.0,4.0
MX-2025009131-A,q1,qwen3.6-35b-a3b,technical,technical,0,zh,random_missing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
MX-2025009131-A,q2,gpt-5.4-mini,technical,technical,0,zh,random_missing,5,5,5,3,3,5,5,,,,,5,yes,5.0,4.0,4.6667
MX-2025009131-A,q3,grok-4.3,technical,technical,0,zh,random_missing,5,5,5,4,4,5,5,,,,,2,yes,5.0,4.5,3.8333
MX-2025009131-A,q4,gemini-3.5-flash,technical,technical,0,zh,random_missing,5,5,5,5,5,5,5,,,,,2,yes,5.0,5.0,4.0
MX-2025009131-A,q5,sonnet-4.6,technical,technical,0,zh,random_missing,5,5,5,5,5,5,5,,,,,2,yes,5.0,5.0,4.0
MX-2025009131-A,q6,gpt-5-mini,technical,technical,0,zh,random_missing,5,5,5,5,5,5,5,,,,,2,yes,5.0,5.0,4.0
WO-2022005333-A1,q1,gpt-5-mini,semantic,semantic,0,en,random_existing,4,2,5,,,,,5,4,4,3,5,no,3.6667,4.0,4.2222
WO-2022005333-A1,q2,sonnet-4.6,semantic,semantic,0,en,random_existing,4,2,5,,,,,5,4,4,3,5,no,3.6667,4.0,4.2222
WO-2022005333-A1,q3,qwen3.6-35b-a3b,semantic,semantic,0,en,random_existing,5,5,5,,,,,5,4,4,5,5,yes,5.0,4.5,4.8333
WO-2022005333-A1,q4,gemini-3.5-flash,semantic,semantic,0,en,random_existing,4,2,5,,,,,4,5,4,3,5,no,3.6667,4.0,4.2222
WO-2022005333-A1,q5,grok-4.3,semantic,semantic,0,en,random_existing,4,2,5,,,,,5,4,4,3,5,no,3.6667,4.0,4.2222
WO-2022005333-A1,q6,gpt-5.4-mini,semantic,semantic,0,en,random_existing,4,2,5,,,,,5,4,4,3,5,no,3.6667,4.0,4.2222
EP-4627881-A1,q1,qwen3.6-35b-a3b,semantic,semantic,0,zh,forced_zh,2,2,5,,,,,4,5,3,2,5,no,3.0,3.5,3.8333
EP-4627881-A1,q2,gemini-3.5-flash,semantic,semantic,0,zh,forced_zh,1,2,5,,,,,4,5,3,2,5,no,2.6667,3.5,3.7222
EP-4627881-A1,q3,gpt-5.4-mini,semantic,technical,1,zh,forced_zh,5,5,5,5,4,4,5,,,,,5,yes,5.0,4.5,4.8333
EP-4627881-A1,q4,sonnet-4.6,semantic,semantic,0,zh,forced_zh,4,4,5,,,,,5,5,4,5,5,yes,4.3333,4.75,4.6944
EP-4627881-A1,q5,gpt-5-mini,semantic,technical,1,zh,forced_zh,4,3,5,4,5,3,4,,,,,5,yes,4.0,4.0,4.3333
EP-4627881-A1,q6,grok-4.3,semantic,semantic,0,zh,forced_zh,3,3,5,,,,,5,5,4,3,5,no,3.6667,4.25,4.3056
MX-2025007206-A,q1,gpt-5-mini,technical,technical,0,de,random_missing,5,5,5,3,3,5,5,,,,,5,yes,5.0,4.0,4.6667
MX-2025007206-A,q2,qwen3.6-35b-a3b,technical,technical,0,de,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025007206-A,q3,gpt-5.4-mini,technical,technical,0,de,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025007206-A,q4,gemini-3.5-flash,technical,technical,0,de,random_missing,4,2,2,5,5,5,5,,,,,5,no,2.6667,5.0,4.2222
MX-2025007206-A,q5,grok-4.3,technical,technical,0,de,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025007206-A,q6,sonnet-4.6,technical,technical,0,de,random_missing,4,3,4,5,5,4,5,,,,,4,no,3.6667,4.75,4.1389
MX-2025010190-A,q1,gemini-3.5-flash,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025010190-A,q2,sonnet-4.6,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025010190-A,q3,qwen3.6-35b-a3b,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025010190-A,q4,gpt-5.4-mini,technical,technical,0,en,random_existing,5,5,5,3,3,5,5,,,,,5,yes,5.0,4.0,4.6667
MX-2025010190-A,q5,grok-4.3,technical,technical,0,en,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
MX-2025010190-A,q6,gpt-5-mini,technical,technical,0,en,random_existing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
MX-2025005046-A,q1,gemini-3.5-flash,semantic,semantic,0,de,all,4,3,5,,,,,5,5,4,4,5,yes,4.0,4.5,4.5
MX-2025005046-A,q2,gpt-5-mini,semantic,semantic,0,de,all,5,5,5,,,,,5,5,5,5,4,yes,5.0,5.0,4.6667
MX-2025005046-A,q3,gpt-5.4-mini,semantic,semantic,0,de,all,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0
MX-2025005046-A,q4,sonnet-4.6,semantic,semantic,0,de,all,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0
MX-2025005046-A,q5,grok-4.3,semantic,semantic,0,de,all,5,4,5,,,,,5,5,4,5,5,yes,4.6667,4.75,4.8056
MX-2025005046-A,q6,qwen3.6-35b-a3b,semantic,semantic,0,de,all,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0
WO-2025207810-A1,q1,gpt-5.4-mini,technical,technical,0,zh,random_missing,5,5,5,4,4,5,5,,,,,4,yes,5.0,4.5,4.5
WO-2025207810-A1,q2,grok-4.3,technical,technical,0,zh,random_missing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
WO-2025207810-A1,q3,sonnet-4.6,technical,technical,0,zh,random_missing,5,5,5,5,5,5,5,,,,,4,yes,5.0,5.0,4.6667
WO-2025207810-A1,q4,gemini-3.5-flash,technical,technical,0,zh,random_missing,4,4,5,5,5,5,5,,,,,5,yes,4.3333,5.0,4.7778
WO-2025207810-A1,q5,gpt-5-mini,technical,technical,0,zh,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025207810-A1,q6,qwen3.6-35b-a3b,technical,technical,0,zh,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4627127-A1,q1,sonnet-4.6,technical,technical,0,de,random_missing,5,4,5,4,5,5,5,,,,,4,yes,4.6667,4.75,4.4722
EP-4627127-A1,q2,grok-4.3,technical,technical,0,de,random_missing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
EP-4627127-A1,q3,gpt-5-mini,technical,technical,0,de,random_missing,5,5,5,4,5,5,5,,,,,5,yes,5.0,4.75,4.9167
EP-4627127-A1,q4,qwen3.6-35b-a3b,technical,technical,0,de,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4627127-A1,q5,gpt-5.4-mini,technical,technical,0,de,random_missing,5,5,5,1,1,5,5,,,,,5,no,5.0,3.0,4.3333
EP-4627127-A1,q6,gemini-3.5-flash,technical,technical,0,de,random_missing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4633645-A1,q1,grok-4.3,technical,technical,0,fr,random_any,5,5,5,3,4,5,5,,,,,4,yes,5.0,4.25,4.4167
EP-4633645-A1,q2,qwen3.6-35b-a3b,technical,technical,0,fr,random_any,5,4,5,2,3,5,5,,,,,4,yes,4.6667,3.75,4.1389
EP-4633645-A1,q3,gpt-5-mini,technical,technical,0,fr,random_any,4,2,5,3,4,5,5,,,,,3,no,3.6667,4.25,3.6389
EP-4633645-A1,q4,gemini-3.5-flash,technical,technical,0,fr,random_any,5,2,5,2,2,4,4,,,,,3,yes,4.0,3.0,3.3333
EP-4633645-A1,q5,gpt-5.4-mini,technical,technical,0,fr,random_any,5,3,5,1,2,5,4,,,,,4,yes,4.3333,3.0,3.7778
EP-4633645-A1,q6,sonnet-4.6,technical,technical,0,fr,random_any,4,4,5,1,3,5,5,,,,,4,no,4.3333,3.5,3.9444
MX-2025007510-A,q1,grok-4.3,semantic,semantic,0,es,random_any,3,1,5,,,,,2,4,2,2,2,no,3.0,2.5,2.5
MX-2025007510-A,q2,qwen3.6-35b-a3b,semantic,semantic,0,es,random_any,3,3,4,,,,,4,5,4,3,5,yes,3.3333,4.0,4.1111
MX-2025007510-A,q3,gpt-5.4-mini,semantic,technical,1,es,random_any,5,4,4,4,3,2,5,,,,,4,yes,4.3333,3.5,3.9444
MX-2025007510-A,q4,gpt-5-mini,semantic,semantic,0,es,random_any,5,4,3,,,,,1,4,4,3,5,no,4.0,3.0,4.0
MX-2025007510-A,q5,sonnet-4.6,semantic,semantic,0,es,random_any,4,3,5,,,,,5,4,5,5,5,yes,4.0,4.75,4.5833
MX-2025007510-A,q6,gemini-3.5-flash,semantic,technical,1,es,random_any,4,3,3,3,5,3,4,,,,,4,yes,3.3333,3.75,3.6944
EP-4577789-A1,q1,gpt-5-mini,technical,technical,0,zh,random_existing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
EP-4577789-A1,q2,grok-4.3,technical,technical,0,zh,random_existing,5,5,5,4,4,5,5,,,,,5,yes,5.0,4.5,4.8333
EP-4577789-A1,q3,gemini-3.5-flash,technical,technical,0,zh,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4577789-A1,q4,gpt-5.4-mini,technical,technical,0,zh,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4577789-A1,q5,sonnet-4.6,technical,technical,0,zh,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
EP-4577789-A1,q6,qwen3.6-35b-a3b,technical,technical,0,zh,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025212655-A1,q1,qwen3.6-35b-a3b,semantic,semantic,0,de,random_any,4,3,5,,,,,5,5,4,4,4,yes,4.0,4.5,4.1667
WO-2025212655-A1,q2,grok-4.3,semantic,semantic,0,de,random_any,5,4,5,,,,,5,5,5,5,4,yes,4.6667,5.0,4.5556
WO-2025212655-A1,q3,gemini-3.5-flash,semantic,semantic,0,de,random_any,3,2,5,,,,,5,5,3,3,5,no,3.3333,4.0,4.1111
WO-2025212655-A1,q4,sonnet-4.6,semantic,semantic,0,de,random_any,5,5,5,,,,,5,5,5,5,4,yes,5.0,5.0,4.6667
WO-2025212655-A1,q5,gpt-5-mini,semantic,semantic,0,de,random_any,5,5,5,,,,,5,4,5,5,4,yes,5.0,4.75,4.5833
WO-2025212655-A1,q6,gpt-5.4-mini,semantic,semantic,0,de,random_any,5,5,5,,,,,5,5,5,5,4,yes,5.0,5.0,4.6667
WO-2025202347-A1,q1,sonnet-4.6,semantic,semantic,0,de,random_missing,4,2,5,,,,,5,5,4,2,5,no,3.6667,4.0,4.2222
WO-2025202347-A1,q2,gpt-5.4-mini,semantic,semantic,0,de,random_missing,4,3,5,,,,,5,4,4,4,5,yes,4.0,4.25,4.4167
WO-2025202347-A1,q3,grok-4.3,semantic,semantic,0,de,random_missing,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0
WO-2025202347-A1,q4,qwen3.6-35b-a3b,semantic,semantic,0,de,random_missing,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0
WO-2025202347-A1,q5,gemini-3.5-flash,semantic,semantic,0,de,random_missing,5,5,5,,,,,5,5,5,5,5,yes,5.0,5.0,5.0
WO-2025202347-A1,q6,gpt-5-mini,semantic,semantic,0,de,random_missing,5,5,5,,,,,5,5,5,5,4,yes,5.0,5.0,4.6667
MX-2025006624-A,q1,grok-4.3,semantic,semantic,0,fr,random_any,3,2,5,,,,,5,5,4,3,5,no,3.3333,4.25,4.1944
MX-2025006624-A,q2,gpt-5-mini,semantic,technical,1,fr,random_any,5,5,5,5,4,5,5,,,,,5,yes,5.0,4.75,4.9167
MX-2025006624-A,q3,gpt-5.4-mini,semantic,semantic,0,fr,random_any,5,4,5,,,,,5,5,5,5,5,yes,4.6667,5.0,4.8889
MX-2025006624-A,q4,gemini-3.5-flash,semantic,technical,1,fr,random_any,5,5,5,5,5,4,5,,,,,5,yes,5.0,4.75,4.9167
MX-2025006624-A,q5,sonnet-4.6,semantic,semantic,0,fr,random_any,3,2,5,,,,,5,5,4,2,5,no,3.3333,4.0,4.1111
MX-2025006624-A,q6,qwen3.6-35b-a3b,semantic,semantic,0,fr,random_any,3,2,5,,,,,5,5,4,2,3,no,3.3333,4.0,3.4444
WO-2025187661-A8,q1,qwen3.6-35b-a3b,semantic,semantic,0,es,random_missing,3,2,5,,,,,5,5,3,2,5,no,3.3333,3.75,4.0278
WO-2025187661-A8,q2,gpt-5-mini,semantic,semantic,0,es,random_missing,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167
WO-2025187661-A8,q3,gemini-3.5-flash,semantic,semantic,0,es,random_missing,4,3,5,,,,,5,5,4,4,5,yes,4.0,4.5,4.5
WO-2025187661-A8,q4,grok-4.3,semantic,semantic,0,es,random_missing,5,3,5,,,,,5,4,4,4,5,yes,4.3333,4.25,4.5278
WO-2025187661-A8,q5,gpt-5.4-mini,semantic,semantic,0,es,random_missing,5,3,5,,,,,5,4,4,4,3,yes,4.3333,4.25,3.8611
WO-2025187661-A8,q6,sonnet-4.6,semantic,semantic,0,es,random_missing,4,4,5,,,,,5,5,4,5,4,yes,4.3333,4.75,4.3611
EP-4633791-A1,q1,gpt-5.4-mini,semantic,semantic,0,zh,forced_zh,5,4,5,,,,,4,5,4,5,5,yes,4.6667,4.5,4.7222
EP-4633791-A1,q2,gemini-3.5-flash,semantic,semantic,0,zh,forced_zh,4,3,5,,,,,3,5,4,4,3,yes,4.0,4.0,3.6667
EP-4633791-A1,q3,qwen3.6-35b-a3b,semantic,semantic,0,zh,forced_zh,2,2,5,,,,,4,4,2,1,5,no,3.0,2.75,3.5833
EP-4633791-A1,q4,gpt-5-mini,semantic,technical,1,zh,forced_zh,2,1,5,4,4,4,4,,,,,4,no,2.6667,4.0,3.5556
EP-4633791-A1,q5,grok-4.3,semantic,semantic,0,zh,forced_zh,4,3,5,,,,,4,4,4,4,4,yes,4.0,4.0,4.0
EP-4633791-A1,q6,sonnet-4.6,semantic,semantic,0,zh,forced_zh,1,1,5,,,,,5,5,4,1,5,no,2.3333,3.75,3.6944
EP-4634436-A1,q1,gpt-5.4-mini,semantic,semantic,0,fr,random_existing,5,4,5,,,,,4,4,4,5,5,yes,4.6667,4.25,4.6389
EP-4634436-A1,q2,sonnet-4.6,semantic,semantic,0,fr,random_existing,3,2,5,,,,,5,5,4,2,5,no,3.3333,4.0,4.1111
EP-4634436-A1,q3,gpt-5-mini,semantic,semantic,0,fr,random_existing,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167
EP-4634436-A1,q4,qwen3.6-35b-a3b,semantic,semantic,0,fr,random_existing,2,2,5,,,,,5,5,4,2,5,no,3.0,4.0,4.0
EP-4634436-A1,q5,gemini-3.5-flash,semantic,semantic,0,fr,random_existing,5,4,5,,,,,5,5,5,5,5,yes,4.6667,5.0,4.8889
EP-4634436-A1,q6,grok-4.3,semantic,semantic,0,fr,random_existing,3,2,5,,,,,4,5,4,2,4,no,3.3333,3.75,3.6944
WO-2025215167-A1,q1,grok-4.3,semantic,semantic,0,de,random_existing,4,4,5,,,,,5,5,4,5,5,yes,4.3333,4.75,4.6944
WO-2025215167-A1,q2,qwen3.6-35b-a3b,semantic,semantic,0,de,random_existing,3,3,5,,,,,5,5,4,4,5,yes,3.6667,4.5,4.3889
WO-2025215167-A1,q3,gemini-3.5-flash,semantic,semantic,0,de,random_existing,4,4,5,,,,,5,4,3,5,5,yes,4.3333,4.25,4.5278
WO-2025215167-A1,q4,gpt-5-mini,semantic,technical,1,de,random_existing,5,5,5,5,4,4,5,,,,,5,yes,5.0,4.5,4.8333
WO-2025215167-A1,q5,sonnet-4.6,semantic,semantic,0,de,random_existing,2,2,5,,,,,5,5,4,2,5,no,3.0,4.0,4.0
WO-2025215167-A1,q6,gpt-5.4-mini,semantic,technical,1,de,random_existing,5,5,5,5,5,4,5,,,,,5,yes,5.0,4.75,4.9167
MX-2025004470-A,q1,gpt-5.4-mini,semantic,semantic,0,en,random_existing,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167
MX-2025004470-A,q2,grok-4.3,semantic,semantic,0,en,random_existing,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167
MX-2025004470-A,q3,gemini-3.5-flash,semantic,semantic,0,en,random_existing,3,3,5,,,,,4,5,3,3,5,no,3.6667,3.75,4.1389
MX-2025004470-A,q4,qwen3.6-35b-a3b,semantic,semantic,0,en,random_existing,3,2,5,,,,,4,5,2,2,5,no,3.3333,3.25,3.8611
MX-2025004470-A,q5,gpt-5-mini,semantic,semantic,0,en,random_existing,5,5,5,,,,,5,4,5,5,5,yes,5.0,4.75,4.9167
MX-2025004470-A,q6,sonnet-4.6,semantic,semantic,0,en,random_existing,4,4,5,,,,,5,5,5,5,5,yes,4.3333,5.0,4.7778
WO-2025177605-A1,q1,qwen3.6-35b-a3b,technical,technical,0,fr,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025177605-A1,q2,sonnet-4.6,technical,technical,0,fr,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025177605-A1,q3,gpt-5.4-mini,technical,technical,0,fr,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025177605-A1,q4,gemini-3.5-flash,technical,technical,0,fr,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
WO-2025177605-A1,q5,gpt-5-mini,technical,technical,0,fr,random_existing,5,4,5,5,4,5,5,,,,,5,yes,4.6667,4.75,4.8056
WO-2025177605-A1,q6,grok-4.3,technical,technical,0,fr,random_existing,5,5,5,5,5,5,5,,,,,5,yes,5.0,5.0,5.0
