model,doc_id,slot,mode,question_language,accept,faith_mean,quality_mean,rubric_used,linguistic,question,answer
gemini-3.5-flash,WO-2025211336-A1,q1,semantic,en,yes,4.3333,4.25,semantic,5,What type of material formulation is designed to solve the issue of poor depth-of-cure in thick coatings while maintaining thermal stability and bendability?,photocurable resin composition which has favorable thick film curability and of which the cured product after curing is excellent in flexibility and heat resistance
gemini-3.5-flash,WO-2025212655-A1,q3,semantic,de,no,3.3333,4.0,semantic,5,"Wie wird verhindert, dass die langen synthetisierten DNA-Stränge frei in Lösung driften oder unkontrolliert viel Platz auf dem Substrat einnehmen?","Die Concatemer-Templatmoleküle kollabieren zur Bildung kompakter DNA-Nanoballs, die stabil auf einem Träger immobilisiert sind."
gemini-3.5-flash,WO-2025215167-A1,q3,semantic,de,yes,4.3333,4.25,semantic,5,"Mit welcher Methode lässt sich eine nanostrukturierte Beschichtung auf Zirconiumbasis herstellen, die gleichmäßig verteilte Quantensensoren enthält?",durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden
gpt-5-mini,EP-4504821-A1,q4,technical,es,yes,5.0,4.0,technical,5,¿Qué valores puede tener k1?,"k1 is 0, 1, 2 or 3"
gpt-5-mini,EP-4577789-A1,q1,technical,zh,yes,5.0,4.5,technical,5,冷却气体由哪个管道引导至预热区？,冷却气体管道 (44)
gpt-5-mini,EP-4584229-A1,q6,technical,es,yes,5.0,4.5,technical,4,¿Qué representa R en la fórmula R-NR'H?,a linear or branched and optionally substituted hydrocarbon group with 1 to 20 carbon atoms
gpt-5-mini,EP-4627127-A1,q3,technical,de,yes,5.0,4.75,technical,5,Welche Festigkeit weisen die resultierenden Aluminiumlegierungsprodukte auf?,hohe Festigkeit
gpt-5-mini,EP-4627881-A1,q5,semantic,zh,yes,4.0,4.0,technical,5,有哪些专用硬件可以直接生成工业用等离子体火焰？,"用于生成至少一种等离子体火焰(12)的装置(10, 10a, 10b)。"
gpt-5-mini,EP-4630021-A1,q3,technical,de,yes,5.0,5.0,technical,5,Welche Materialien enthalten die equinen therapeutischen Zusammensetzungen?,Plazenta-abgeleitete Materialien
gpt-5-mini,EP-4633645-A1,q3,technical,fr,no,3.6667,4.25,technical,3,Quel site de phosphorylation de l'ubiquitine est élevé dans les maladies neurodégénératives ?,phosphorylation de l'ubiquitine Ser65
gpt-5-mini,EP-4633791-A1,q4,semantic,zh,no,2.6667,4.0,technical,4,有哪些新的工艺可用于制备以蛋白质为基础的微胶囊？,一种制备蛋白质基微胶囊的新工艺。
gpt-5-mini,EP-4634436-A1,q3,semantic,fr,yes,5.0,4.75,semantic,5,"Quelle action est entreprise si, après le remplacement initial, le contrôle détecte encore des cellules endommagées ?","lorsqu'un résultat du deuxième test indique qu'il reste la ou les autres cellules endommagées, l'arrêt de l'électrolyseur et la répétition de l'exécution du ou des premiers tests, le remplacement de la ou des cellules, et l'exécution du deuxième test,"
gpt-5-mini,MX-2025002756-A,q6,technical,en,yes,5.0,4.5,technical,5,What is the weight percent range of Cu in the alloy?,59 to 62 wt % Cu
gpt-5-mini,MX-2025004470-A,q5,semantic,en,yes,5.0,4.75,semantic,5,What in-reactor heating strategy is used together with a catalyst to carry out the dehydrogenation reaction?,"feeding the heated paraffinic feedstock to a first dehydrogenation reactor operating in a reaction mode and containing an active dehydrogenation catalyst and at least one first electrical heating element, heating the heated paraffinic feedstock in the first dehydrogenation reactor using the at least one first electrical heating element"
gpt-5-mini,MX-2025005046-A,q2,semantic,de,yes,5.0,5.0,semantic,4,"Welcher mechanische oder physikalische Mechanismus wird eingesetzt, um die Zahl und Lebensdauer reaktiver Sauerstoffspezies zu erhöhen und dadurch die Reinigung zu verbessern?","Die doppelten Paare magnetischer Ringe sind so konfiguriert, die lokalen Magnetfelder zu verstärken, die Anzahl und die mittlere Lebensdauer radikalisierten Sauerstoffmolekülen zu erhöhen und die Wasserreinigung zu verbessern."
gpt-5-mini,MX-2025006624-A,q2,semantic,fr,yes,5.0,4.75,technical,5,Comment la formulation intègre-t-elle un monomère d'origine biobasée dans un revêtement curable par rayonnement actinique ?,"La composition comprend de 10 wt% à 90 wt%, basé sur le poids total de la composition, d'un poly(trimethylene ether) (meth)acrylate compound A ayant au plus deux groupes (meth)acrylate, obtenable par une réaction de condensation de biobased 1,3 poly(trimethylene ether) glycol et d'un composé de (meth)acrylate sélectionné dans le groupe constitué par (meth)acrylic acid, (meth)acryloyl chloride et/ou leurs alkylesters; wherein the biobased 1,3 poly(trimethylene ether) glycol has a number average molecular weight Mn of from 350 to 600 g/mol, more preferably from 400 to 550 g/mol."
gpt-5-mini,MX-2025007206-A,q1,technical,de,yes,5.0,4.0,technical,5,Welche Lagertemperatur wird für langfristige Aufbewahrung genannt?,temperatures above -80 °C
gpt-5-mini,MX-2025007510-A,q4,semantic,es,no,4.0,3.0,semantic,5,¿En qué indicación clínica se plantea usar esta formulación y qué beneficio de dosificación aporta?,tratar hipertensión pulmonar con frecuencia de dosificación reducida.
gpt-5-mini,MX-2025009131-A,q6,technical,zh,yes,5.0,5.0,technical,2,聚合物由哪类聚合物组成？,one or more non-cross-linked thermoplastic polymers that are recyclable and/or biodegradable
gpt-5-mini,MX-2025009666-A,q1,technical,en,yes,5.0,5.0,technical,5,Where are the one or more gas outlets located on the dump tank vessel?,at a top of the vessel
gpt-5-mini,MX-2025010190-A,q6,technical,en,yes,5.0,4.5,technical,5,What amino acid profile does the recombinant polypeptide have?,a nutritionally complete amino acid profile
gpt-5-mini,WO-2022005333-A1,q1,semantic,en,no,3.6667,4.0,semantic,5,How can low-value olefin-rich feeds like dry catalytic cracking gas or propane‑propylene cuts be converted into gasoline in this process?,"The method makes it possible to produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction,"
gpt-5-mini,WO-2023149795-A1,q1,technical,en,yes,5.0,4.5,technical,5,Which protein synthesis stimulator is included in the second nutrient medium?,zinc acetate
gpt-5-mini,WO-2025054647-A1,q2,semantic,es,yes,5.0,4.75,semantic,5,¿Qué diseño estructural integra el material termochímico y qué propiedades de difusión y deformación especifica la matriz?,"el medio de almacenamiento termochímico incorporado en una matriz; la matriz tiene un coeficiente de difusión de gas para el gas de 2.25*10 -9 m 2 /s a 4.25*10 -9 m 2 /s en un intervalo de temperatura de -30°C a 300°C, y una expansión máxima ε en el rango de la ley de Hooke de 25% a 300%; el medio de almacenamiento termochímico está distribuido sustancialmente de forma homogénea en la matriz."
gpt-5-mini,WO-2025177605-A1,q5,technical,fr,yes,4.6667,4.75,technical,5,Quel pourcentage d'Al contient l'alliage à base de Ni ?,"2,0% en poids ou plus d'Al"
gpt-5-mini,WO-2025187661-A8,q2,semantic,es,yes,5.0,4.75,semantic,5,¿Qué defecto durante el reprocesado en planta pretende evitar esta composición de resina?,puede ser inhibida de formar rebabas durante el reciclaje.
gpt-5-mini,WO-2025202347-A1,q6,semantic,de,yes,5.0,5.0,semantic,4,Welche konkreten Augenzustände und Spätkomplikationen können mit einer iota-carrageenan-haltigen Formulierung behandelt werden?,"die klinisch relevanten Augenleiden sind ausgewählt aus der Gruppe bestehend aus erhöhter Augeninnendruck, nicht-allergischer und nicht-viraler Konjunktivitis, Reizungen verursacht durch luftgetragene Partikel außer Allergenen, und späte Komplikationen dieser Konjunktivitis, bestehend aus Kornea-Opazitäten, subepithelialen Infiltraten und Bildung von okulären Pseudomembranen."
gpt-5-mini,WO-2025207810-A1,q5,technical,zh,yes,5.0,5.0,technical,5,哪种结构可减弱寡核苷酸与不良核酸序列的杂交？,工程化的发夹结构
gpt-5-mini,WO-2025210445-A1,q2,technical,fr,yes,5.0,4.25,semantic,3,Plage de tension préférée entre les électrodes,"de préférence entre 0 V et 220 V, plus préférentiellement entre 1 V et 20 V"
gpt-5-mini,WO-2025211128-A1,q2,technical,en,no,4.6667,3.0,technical,5,What recess depth from the surface is required?,0.5 μm or less
gpt-5-mini,WO-2025211336-A1,q2,semantic,en,yes,5.0,4.5,technical,5,"What combination of ingredient types is used to formulate a photocurable resin that yields flexible, heat-resistant cured films?","includes component (A): a polyorganosiloxane having one or more vinyl groups in one molecule, component (B): a compound having one or more mercapto groups in one molecule, component (C): a photoinitiator, and component (D): hollow resin particles."
gpt-5-mini,WO-2025212655-A1,q5,semantic,de,yes,5.0,4.75,semantic,4,"Welcher Ansatz wird vorgeschlagen, um zahlreiche Vorlagen direkt auf einem festen Träger zu erzeugen?","In einigen Ausführungsformen können die concatemer template molecules erzeugt werden, indem rolling circle amplification-Reaktionen auf einem Support durchgeführt werden, der eine Mischung aus immobilisierten capture und pinning primers enthält."
gpt-5-mini,WO-2025215167-A1,q4,semantic,de,yes,5.0,4.5,technical,5,"Welches Herstellungsverfahren wird vorgeschlagen, um eine Zirconium(IV)-oxid-Schicht mit eingebrachten dotierten Nanodiamanten auf einem Substrat zu erzeugen?","Die Erfindung betrifft eine Beschichtung aus Zirconium(IV)-oxid, welche durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden und nach Ihrer Trocknung durch einen Kalzinierungsprozess bei erhöhter Temperatur in einen kristallinen Zustand überfuhrt wird."
gpt-5.4-mini,EP-4504821-A1,q5,technical,es,yes,5.0,3.5,technical,4,¿Qué valores puede tomar b?,0 o un número entero de 1 to 500
gpt-5.4-mini,EP-4577789-A1,q4,technical,zh,yes,5.0,5.0,technical,5,冷却气体管道把冷却气体从哪里引导到哪里？,从冷却区 (22) 引导至预热区 (21)
gpt-5.4-mini,EP-4584229-A1,q1,technical,es,yes,5.0,4.5,technical,4,¿Qué rango de carbonos tiene R en R-NR'H?,1 to 20 carbon atoms
gpt-5.4-mini,EP-4627127-A1,q5,technical,de,no,5.0,3.0,technical,5,Welcher Werkstoff wird gegossen?,eine Aluminiumlegierung
gpt-5.4-mini,EP-4627881-A1,q3,semantic,zh,yes,5.0,4.5,technical,5,如果要把多个等离子火焰发生装置组合起来，相关的等离子生成单元是怎样构成的？,"eine Plasmaerzeugungseinrichtung (100) umfassend mehrere Vorrichtungen (10, 10a, 10b)"
gpt-5.4-mini,EP-4630021-A1,q5,technical,de,yes,5.0,4.5,technical,2,Welche Eigenschaften hat das flüssige Injektionsprodukt?,"clear, safe, and physiologically and biologically active"
gpt-5.4-mini,EP-4633645-A1,q5,technical,fr,yes,4.3333,3.0,technical,4,Quelle caractéristique de phosphorylation est associée aux maladies neurodégénératives visées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65
gpt-5.4-mini,EP-4633791-A1,q1,semantic,zh,yes,4.6667,4.5,semantic,5,这类带香味的消费品更偏向哪些日常护理场景？,家居护理或个人护理产品
gpt-5.4-mini,EP-4634436-A1,q1,semantic,fr,yes,4.6667,4.25,semantic,5,Quelle stratégie de vérification utilise une injection de gaz inertes des deux côtés d'une cellule pour confirmer une cellule défectueuse ?,au moins l'un du ou des premiers tests sur la base d'une injection de gaz inertes au niveau d'une anode et au niveau d'une cathode de chaque cellule
gpt-5.4-mini,MX-2025002756-A,q3,technical,en,yes,5.0,5.0,technical,4,What Mn content range is in the lead-free brass alloy?,2.0 to 2.5 wt % Mn
gpt-5.4-mini,MX-2025004470-A,q1,semantic,en,yes,5.0,4.75,semantic,5,How is a paraffinic feedstock brought up to dehydrogenation temperature before entering the reactor?,combusting the fuel gas stream in the dehydrogenation reactor preheater and heating the paraffinic hydrocarbon feedstock to a temperature in the range of 500-650Â°C
gpt-5.4-mini,MX-2025005046-A,q3,semantic,de,yes,5.0,5.0,semantic,5,Wie kann UV-Licht zusammen mit Magnetfeldern die Bildung reaktiver Sauerstoffformen für die Wasserreinigung fördern?,"Die UV-Strahlungs-Reflexionsabdeckung ist so ausgelegt, dass sie die Wechselwirkung von UV-Strahlung mit Sauerstoffmolekülen in der einströmenden Luft verstärkt. Das Doppelringpaar aus Magneten intensiviert die lokalen Magnetfelder und erhöht die Anzahl und mittlere Lebensdauer radikalisierter Sauerstoffmoleküle und verbessert die Wasserreinigung."
gpt-5.4-mini,MX-2025006624-A,q3,semantic,fr,yes,4.6667,5.0,semantic,5,Comment rendre un revêtement durcissable par radiation actinique tout en utilisant un monomère issu d’un glycol biobasé ?,une composition de revêtement durcissable par radiation actinique comprenant de 10 wt% à 90 wt% d’un composé A de poly(trimethylene ether) (meth)acrylate
gpt-5.4-mini,MX-2025007206-A,q3,technical,de,yes,5.0,5.0,technical,5,Bei welcher Temperatur können die rAAV-Formulierungen längerfristig gelagert werden?,bei Temperaturen über -80 °C
gpt-5.4-mini,MX-2025007510-A,q3,semantic,es,yes,4.3333,3.5,technical,4,¿Qué tipo de formulación se usa para encapsular un fármaco de ácido débil de vida media corta?,"una composición farmacéutica que contiene liposomas, el liposoma comprende una bicapa de lípido externa; y un medio acuoso interno que incluye 5 un fármaco de ácido débil con una vida media de menos de 2 hours."
gpt-5.4-mini,MX-2025009131-A,q2,technical,zh,yes,5.0,4.0,technical,5,用于把腔体加压到高压的流体是什么？,超临界流体
gpt-5.4-mini,MX-2025009666-A,q5,technical,en,yes,5.0,4.5,technical,5,Where is the fluid outlet located in the dump tank?,at a bottom of the vessel
gpt-5.4-mini,MX-2025010190-A,q4,technical,en,yes,5.0,4.0,technical,5,What do the polynucleotides encode?,the recombinant polypeptides
gpt-5.4-mini,WO-2022005333-A1,q6,semantic,en,no,3.6667,4.0,semantic,5,How can low-value olefin-rich byproduct streams be converted into gasoline with higher octane and yield?,"The method makes it possible to produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction, and to increase the octane rating of the product to 95-98 at a product yield of more than 70 wt%, while also reducing the diesel fraction content to less than 2 wt%"
gpt-5.4-mini,WO-2023149795-A1,q3,technical,en,yes,5.0,4.5,technical,5,What protein synthesis stimulator is added to the second nutrient medium?,zinc acetate
gpt-5.4-mini,WO-2025054647-A1,q1,semantic,es,yes,4.3333,4.75,semantic,5,¿Qué características debe tener la matriz para funcionar bien en un sistema de almacenamiento térmico de este tipo?,"la matriz presentando un coeficiente de difusión de gas para el gas de 2,25*10 -9 m 2 /s a 4,25*10 -9 m 2 /s en una plage de temperatura de -30 °C a 300 °C, y una expansión máxima ε en la plage de ley de Hooke de 25 % a 300 %"
gpt-5.4-mini,WO-2025177605-A1,q3,technical,fr,yes,5.0,5.0,technical,5,Quel type de soudage est utilisé pour joindre la partie de jonction du matériau de base ?,soudage au plasma
gpt-5.4-mini,WO-2025187661-A8,q5,semantic,es,yes,4.3333,4.25,semantic,3,¿Cómo se puede evitar que una resina de poly(arylene sulfide) reciclada genere rebabas?,"que, durante el reciclaje, puede ser impedida de formar burrs"
gpt-5.4-mini,WO-2025202347-A1,q2,semantic,de,yes,4.0,4.25,semantic,5,Welche Art von Augenleiden soll mit einer iota-carrageenan-basierten Formulierung behandelt oder verhindert werden?,"nicht allergische, nicht virale klinisch relevante Augenbeschwerden, die mindestens eines der folgenden Bereiche betreffen: die Schleimhautgewebe am oder um das Auge, die Augenoberfläche, das Hornhautgewebe und die Flüssigkeit im Auge"
gpt-5.4-mini,WO-2025207810-A1,q1,technical,zh,yes,5.0,4.5,technical,4,错误校验 barcode nucleotide sequences 基于什么编码？,Hamming codes
gpt-5.4-mini,WO-2025210445-A1,q1,technical,fr,yes,5.0,4.25,semantic,4,Quelle plage de tension est indiquée comme la plus préférée entre les électrodes ?,entre 1 V et 20 V
gpt-5.4-mini,WO-2025211128-A1,q4,technical,en,no,5.0,3.25,technical,5,What is the recess depth from the surface?,0.5 μm or less
gpt-5.4-mini,WO-2025211336-A1,q5,semantic,en,no,3.0,2.75,semantic,5,"How can a photocurable resin be made suitable for thick-film curing while still giving a flexible, heat-resistant cured product?",has favorable thick film curability and of which the cured product after curing is excellent in flexibility and heat resistance
gpt-5.4-mini,WO-2025212655-A1,q6,semantic,de,yes,5.0,5.0,semantic,4,"Wie werden die Amplifikationsprodukte so verdichtet, dass sie fest auf dem Träger verbleiben?","concatemer template molecules, die zu compact DNA nanoballs kollabieren und stabil auf einem support immobilisiert sind"
gpt-5.4-mini,WO-2025215167-A1,q6,semantic,de,yes,5.0,4.75,technical,5,Wie kann man Quantensensoren direkt in eine ZrO2-Beschichtung auf einem Träger integrieren?,"eine Beschichtung aus Zirconium(IV)-oxid, welche durch einen Sol-Gel-Prozess aus einer flüssigen Phase mit darin verteilten dotierten Nanodiamanten auf einem Substrat abgeschieden"
grok-4.3,EP-4504821-A1,q2,technical,es,yes,5.0,3.5,technical,5,¿Qué valores puede tomar b?,0 o un entero de 1 a 500
grok-4.3,EP-4577789-A1,q2,technical,zh,yes,5.0,4.5,technical,5,冷却气体如何从冷却区引导至预热区？,经由冷气管道 (44) 被引导至预热区 (21)
grok-4.3,EP-4584229-A1,q5,technical,es,yes,5.0,4.5,technical,3,¿Qué representa el resto R en la fórmula R-NR'H?,"un linear or branched, optionally substituted hydrocarbon group con 1 to 20 carbon atoms"
grok-4.3,EP-4627127-A1,q2,technical,de,yes,5.0,4.5,technical,5,Welche Verarbeitungsschritte werden bei Aluminiumlegierungsprodukten durchgeführt?,Gießen einer Aluminiumlegierung und Durchführung von maßgeschneidertem Walzen und nachgelagerten thermischen Verarbeitungsschritten
grok-4.3,EP-4627881-A1,q6,semantic,zh,no,3.6667,4.25,semantic,5,工业熔化设备中实现多等离子体火焰供应的系统如何构建？,"a plasma generation unit (100) comprising a plurality of devices (10, 10a, 10b)"
grok-4.3,EP-4630021-A1,q2,technical,de,yes,4.3333,5.0,technical,2,Welche Eigenschaften besitzt das produzierte Amnion- und Fruchtwasser-Injektionsprodukt?,"clear, safe, and physiologically and biologically active liquid injectable"
grok-4.3,EP-4633645-A1,q1,technical,fr,yes,5.0,4.25,technical,4,Quel niveau de phosphorylation de l'ubiquitine Ser65 caractérise les maladies neurodégénératives traitées ?,niveau élevé
grok-4.3,EP-4633791-A1,q5,semantic,zh,yes,4.0,4.0,semantic,4,蛋白质基微胶囊适合加入到哪些家用或个人护理产品中发挥作用？,香味组合物和包含所述微胶囊的消费产品，特别是以家用护理或个人护理产品形式存在的香味消费产品
grok-4.3,EP-4634436-A1,q6,semantic,fr,no,3.3333,3.75,semantic,4,Comment des gaz inertes injectés aux deux pôles d'une cellule peuvent-ils servir à valider l'existence réelle de membranes défectueuses ?,au moins l'un du ou des premiers tests sur la base d'une injection de gaz inertes au niveau d'une anode et au niveau d'une cathode de chaque cellule
grok-4.3,MX-2025002756-A,q1,technical,en,yes,5.0,5.0,technical,5,What is the manganese content range in the lead-free brass alloy?,2.0 to 2.5 wt % Mn
grok-4.3,MX-2025004470-A,q2,semantic,en,yes,5.0,4.75,semantic,5,How can electric heating be combined with catalysis inside a dehydrogenation reactor?,"heating the heated paraffinic feedstock in the first dehydrogenation reactor using the at least one first electrical heating element, and contacting the heated paraffinic feedstock with the active dehydrogenation catalyst and the at least one electrical heating element thereby producing an olefinic product stream comprising one or more olefins."
grok-4.3,MX-2025005046-A,q5,semantic,de,yes,4.6667,4.75,semantic,5,Wie lässt sich die Bildung reaktiver Sauerstoffspezies durch UV-Strahlung in einem Wassersystem gezielt verstärken?,"Die UV-Strahlungsreflektionsabdeckung ist konfiguriert, um die Interaktion der UV-Strahlung mit Sauerstoffmolekülen in der eintretenden Luft zu verstärken."
grok-4.3,MX-2025006624-A,q1,semantic,fr,no,3.3333,4.25,semantic,5,Existe-t-il des revêtements polymérisables par actinique qui incorporent des matériaux d'origine biologique tout en maintenant des propriétés de mise en œuvre industrielles ?,composition de revêtement curable par radiation actinique qui comprend de 10 % en poids à 90 % en poids d'un composé A et entre 10 % en poids et 89.99 % en poids d'un composé B
grok-4.3,MX-2025007206-A,q5,technical,de,yes,5.0,5.0,technical,5,Oberhalb welcher Temperatur ermöglichen rAAV-Formulierungen langfristige Lagerung?,oberhalb von -80 °C
grok-4.3,MX-2025007510-A,q1,semantic,es,no,3.0,2.5,semantic,2,Manera de bajar la frecuencia con que se administra medicación a pacientes con hipertensión pulmonar,para tratar hipertensión pulmonar con frecuencia de dosificación reducida
grok-4.3,MX-2025009131-A,q3,technical,zh,yes,5.0,4.5,technical,2,维持升高压力是为了什么？,to infuse the supercritical fluid into the polymer
grok-4.3,MX-2025009666-A,q6,technical,en,yes,5.0,5.0,technical,5,What solvent is used to form the metallocene solution?,hydrocarbon solvent
grok-4.3,MX-2025010190-A,q5,technical,en,yes,5.0,5.0,technical,5,What forms of polypeptide are suitable to provide a nutritionally complete amino acid profile when provided in a nutritional composition?,a recombinant polypeptide and variants and truncates thereof
grok-4.3,WO-2022005333-A1,q5,semantic,en,no,3.6667,4.0,semantic,5,How can low-demand refinery gases like catalytic cracking dry gas be upgraded into gasoline?,"produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction"
grok-4.3,WO-2023149795-A1,q2,technical,en,yes,5.0,4.5,technical,5,What protein synthesis stimulator is included in the second nutrient medium?,zinc acetate
